NAME,B08128_001E,B08128_002E,B08128_003E,B08128_009E,B08128_013E,state,county
"Giles County, Virginia",7406,4915,4793,320,4208,51,071
"Gloucester County, Virginia",19083,12358,11748,1071,10126,51,073
"Goochland County, Virginia",11326,7723,6968,1036,5547,51,075
"Grayson County, Virginia",5827,3786,3697,492,3039,51,077
"Greene County, Virginia",10557,6944,6750,639,4988,51,079
"Greensville County, Virginia",3877,2538,2434,200,1912,51,081
"Halifax County, Virginia",13505,9315,9029,777,7418,51,083
"Hanover County, Virginia",56934,39542,37126,2832,29703,51,085
"Henrico County, Virginia",173906,123259,116877,8262,84271,51,087
"Henry County, Virginia",19464,14353,13793,851,11682,51,089
"Highland County, Virginia",805,357,330,116,264,51,091
"Isle of Wight County, Virginia",18470,12410,11455,887,9421,51,093
"James City County, Virginia",35330,21388,20125,2196,15402,51,095
"King and Queen County, Virginia",3248,2059,1933,136,1589,51,097
"King George County, Virginia",13820,7839,7436,516,5995,51,099
"King William County, Virginia",9155,6304,6062,649,5221,51,101
"Lancaster County, Virginia",3953,2438,2156,336,1700,51,103
"Lee County, Virginia",6901,4382,4298,666,3672,51,105
"Loudoun County, Virginia",226387,159510,150195,10021,95112,51,107
"Louisa County, Virginia",17615,11733,10995,1416,9038,51,109
"Lunenburg County, Virginia",4556,3061,2801,152,2244,51,111
"Madison County, Virginia",6470,4016,3778,742,3009,51,113
"Mathews County, Virginia",3172,1834,1693,422,1380,51,115
"Mecklenburg County, Virginia",12273,8093,7674,670,6327,51,117
"Middlesex County, Virginia",4437,2976,2730,357,1949,51,119
"Montgomery County, Virginia",45188,26486,25267,1732,19267,51,121
"Nelson County, Virginia",6495,4290,3763,788,2274,51,125
"New Kent County, Virginia",12083,8193,7611,586,5631,51,127
"Northampton County, Virginia",4850,3256,2779,345,1792,51,131
"Northumberland County, Virginia",4336,2841,2540,309,1959,51,133
"Nottoway County, Virginia",5833,3984,3798,410,3066,51,135
"Orange County, Virginia",17338,11670,11054,1291,8274,51,137
"Page County, Virginia",10681,7799,7416,532,5768,51,139
"Patrick County, Virginia",7210,5310,5006,551,4169,51,141
"Pittsylvania County, Virginia",25257,18723,17630,1285,15546,51,143
"Powhatan County, Virginia",15147,11044,9951,867,7660,51,145
"Prince Edward County, Virginia",8237,4880,4754,262,3244,51,147
"Prince George County, Virginia",19827,11540,11175,636,9438,51,149
"Prince William County, Virginia",249858,155610,147694,11784,104283,51,153
"Pulaski County, Virginia",14880,10349,9921,554,8543,51,155
"Rappahannock County, Virginia",3468,2381,2116,330,1515,51,157
"Richmond County, Virginia",3208,2051,1945,207,1635,51,159
"Roanoke County, Virginia",46477,31917,30231,2066,24045,51,161
"Rockbridge County, Virginia",9969,6145,5806,918,4774,51,163
"Rockingham County, Virginia",41338,28340,26480,2547,21901,51,165
"Russell County, Virginia",8527,5677,5488,361,4247,51,167
"Scott County, Virginia",7808,5597,5457,301,4754,51,169
"Shenandoah County, Virginia",20387,14430,13764,1268,10701,51,171
"Smyth County, Virginia",11673,8188,8032,520,6612,51,173
"Southampton County, Virginia",7839,4713,4373,493,3502,51,175
"Spotsylvania County, Virginia",69708,44866,42455,3260,32354,51,177
"Stafford County, Virginia",78696,44000,41446,2951,30073,51,179
"Surry County, Virginia",3069,1903,1888,133,1458,51,181
"Sussex County, Virginia",4307,3178,3033,84,2580,51,183
"Tazewell County, Virginia",14127,9892,9400,687,8213,51,185
"Warren County, Virginia",19244,13669,12992,999,9438,51,187
"Washington County, Virginia",23555,16194,15194,1257,12836,51,191
"Westmoreland County, Virginia",7028,4131,3796,734,3009,51,193
"Wise County, Virginia",12211,8185,7892,411,6233,51,195
"Wythe County, Virginia",12341,8786,8470,461,7190,51,197
"York County, Virginia",35523,19204,17876,1371,13703,51,199
"Alexandria city, Virginia",97901,53406,50310,4606,26928,51,510
"Bristol city, Virginia",7286,5288,5135,293,3774,51,520
"Buena Vista city, Virginia",3056,2074,1994,113,1638,51,530
"Charlottesville city, Virginia",23670,12273,11439,1180,6639,51,540
"Chesapeake city, Virginia",123540,72643,68568,5448,52987,51,550
"Colonial Heights city, Virginia",8540,5669,5439,304,4411,51,570
"Covington city, Virginia",2332,1648,1614,74,1454,51,580
"Danville city, Virginia",16076,12009,11676,846,9353,51,590
