NAME,B08128_001E,B08128_002E,B08128_003E,B08128_009E,B08128_013E,state,county
"Henry County, Tennessee",12545,9106,8722,924,7491,47,079
"Hickman County, Tennessee",10427,7675,7361,765,5765,47,081
"Houston County, Tennessee",3171,2165,2092,234,1585,47,083
"Humphreys County, Tennessee",7773,5202,4986,695,4310,47,085
"Jackson County, Tennessee",4704,3406,3218,414,2697,47,087
"Jefferson County, Tennessee",24606,17795,17379,1806,14693,47,089
"Johnson County, Tennessee",6298,4273,4123,546,3370,47,091
"Knox County, Tennessee",238588,170181,164267,13404,130807,47,093
"Lake County, Tennessee",1710,930,903,166,687,47,095
"Lauderdale County, Tennessee",9045,6602,6420,551,5494,47,097
"Lawrence County, Tennessee",18192,12366,12010,1665,10573,47,099
"Lewis County, Tennessee",5176,3508,3393,544,2731,47,101
"Lincoln County, Tennessee",15839,11078,10802,1169,9445,47,103
"Loudon County, Tennessee",24262,17845,17045,1325,14475,47,105
"McMinn County, Tennessee",22261,16484,15998,1910,14070,47,107
"McNairy County, Tennessee",9710,6672,6529,600,5715,47,109
"Macon County, Tennessee",11481,8564,8398,916,6724,47,111
"Madison County, Tennessee",44068,30567,29435,2619,22547,47,113
"Marion County, Tennessee",11826,8517,8183,998,6907,47,115
"Marshall County, Tennessee",15692,11291,10790,1199,9178,47,117
"Maury County, Tennessee",49963,37274,35928,3316,28900,47,119
"Meigs County, Tennessee",4807,3643,3539,368,2824,47,121
"Monroe County, Tennessee",17921,12963,12605,1466,10709,47,123
"Montgomery County, Tennessee",104222,62405,59891,4596,49843,47,125
"Moore County, Tennessee",2865,2144,2094,272,1782,47,127
"Morgan County, Tennessee",7241,4659,4579,450,4046,47,129
"Obion County, Tennessee",13120,9286,9030,919,7747,47,131
"Overton County, Tennessee",9977,7016,6838,1111,5870,47,133
"Perry County, Tennessee",3057,2041,2001,374,1719,47,135
"Pickett County, Tennessee",1692,1071,1063,157,884,47,137
"Polk County, Tennessee",7143,5085,4944,503,3972,47,139
"Putnam County, Tennessee",37665,27054,26323,3013,21937,47,141
"Rhea County, Tennessee",12560,9070,8812,780,7552,47,143
"Roane County, Tennessee",23119,14754,14287,1623,12002,47,145
"Robertson County, Tennessee",35452,26617,25900,2495,21711,47,147
"Rutherford County, Tennessee",180732,134961,131151,10596,101171,47,149
"Scott County, Tennessee",7780,5573,5287,495,4584,47,151
"Sequatchie County, Tennessee",6249,4415,4204,485,3298,47,153
"Sevier County, Tennessee",45941,34176,32890,3827,25842,47,155
"Shelby County, Tennessee",422464,304415,294988,21924,237666,47,157
"Smith County, Tennessee",9064,6609,6457,698,5323,47,159
"Stewart County, Tennessee",5460,3512,3340,657,2795,47,161
"Sullivan County, Tennessee",67689,49753,48273,4528,40369,47,163
"Sumner County, Tennessee",98077,71594,68830,6653,53371,47,165
"Tipton County, Tennessee",27667,18580,18083,1692,15731,47,167
"Trousdale County, Tennessee",4880,3652,3594,211,3188,47,169
"Unicoi County, Tennessee",7508,5065,4789,285,3905,47,171
"Union County, Tennessee",8124,5974,5859,676,4756,47,173
"Van Buren County, Tennessee",2421,1462,1419,299,1230,47,175
"Warren County, Tennessee",17419,12419,12142,1860,10317,47,177
"Washington County, Tennessee",61983,43000,41368,4346,34500,47,179
"Wayne County, Tennessee",6155,3889,3688,610,3315,47,181
"Weakley County, Tennessee",14011,9802,9546,816,7828,47,183
"White County, Tennessee",11115,8094,7786,1076,6820,47,185
"Williamson County, Tennessee",125974,91565,85189,11163,61430,47,187
"Wilson County, Tennessee",73588,54820,52177,4195,40908,47,189
"Alamance County, North Carolina",80839,60170,57283,3942,47169,37,001
"Alexander County, North Carolina",15849,11583,10941,1107,9566,37,003
"Alleghany County, North Carolina",4345,3038,2874,412,2224,37,005
"Anson County, North Carolina",8565,5899,5672,815,4331,37,007
"Ashe County, North Carolina",11435,7957,7703,1011,6177,37,009
"Avery County, North Carolina",6209,4123,3541,456,2900,37,011
"Beaufort County, North Carolina",19091,13258,12229,1207,10802,37,013
"Bertie County, North Carolina",6177,3723,3571,503,3014,37,015
"Bladen County, North Carolina",10567,7205,6758,725,5438,37,017
"Brunswick County, North Carolina",55354,40028,37424,3756,29562,37,019
"Buncombe County, North Carolina",130073,95616,88342,9761,68691,37,021
"Burke County, North Carolina",38812,27373,26266,1865,22370,37,023
"Cabarrus County, North Carolina",111840,83457,78887,5452,58235,37,025
"Caldwell County, North Carolina",35284,26206,24852,2357,21002,37,027
"Camden County, North Carolina",4860,2971,2750,303,2147,37,029
"Carteret County, North Carolina",30080,19061,17516,2642,14243,37,031
"Caswell County, North Carolina",9225,6513,6380,593,5562,37,033
"Catawba County, North Carolina",74280,58295,55650,3820,45218,37,035
"Chatham County, North Carolina",34963,23633,21814,2023,15195,37,037
"Cherokee County, North Carolina",11047,7949,7560,863,6201,37,039
"Chowan County, North Carolina",5623,3329,3184,389,2531,37,041
"Clay County, North Carolina",4364,3089,2649,407,1893,37,043
"Cleveland County, North Carolina",42455,30818,29135,2152,24469,37,045
"Columbus County, North Carolina",18489,13775,13180,917,11632,37,047
"Craven County, North Carolina",44932,26710,25515,1951,20807,37,049
"Cumberland County, North Carolina",153731,83890,79770,5545,63903,37,051
"Currituck County, North Carolina",14296,8557,7580,1236,6299,37,053
"Dare County, North Carolina",18731,12922,11284,1984,8901,37,055
"Davidson County, North Carolina",75568,56387,53833,5277,43950,37,057
"Davie County, North Carolina",19362,14348,13589,1165,11205,37,059
"Duplin County, North Carolina",21072,15422,14624,1745,11668,37,061
"Durham County, North Carolina",168520,110123,105544,6753,72028,37,063
"Edgecombe County, North Carolina",20021,14974,14237,860,11646,37,065
"Forsyth County, North Carolina",175739,125775,120141,8999,92367,37,067
"Franklin County, North Carolina",32053,23539,22214,1624,17913,37,069
"Gaston County, North Carolina",106701,82995,79652,4617,64375,37,071
"Gates County, North Carolina",4479,3186,3054,333,2639,37,073
"Graham County, North Carolina",3048,1853,1767,273,1449,37,075
"Granville County, North Carolina",26260,17899,17212,1081,14277,37,077
"Greene County, North Carolina",8021,5601,5406,344,4623,37,079
"Guilford County, North Carolina",257749,188635,179490,12621,137988,37,081
"Halifax County, North Carolina",17869,11993,11622,1172,9262,37,083
"Harnett County, North Carolina",57835,38302,36528,2598,30015,37,085
"Haywood County, North Carolina",27174,18942,17830,1822,14467,37,087
"Henderson County, North Carolina",53627,38764,35880,4265,28863,37,089
"Hertford County, North Carolina",8435,5155,4997,387,3828,37,091
"Hoke County, North Carolina",21569,12630,12041,924,9595,37,093
"Hyde County, North Carolina",1325,766,592,223,386,37,095
"Iredell County, North Carolina",90895,71495,67407,5409,52485,37,097
"Jackson County, North Carolina",18158,11583,11015,1022,8982,37,099
"Johnston County, North Carolina",106454,77233,72739,5705,57374,37,101
"Jones County, North Carolina",3815,2581,2412,243,2010,37,103
"Lee County, North Carolina",28339,20938,20199,1174,16347,37,105
"Lenoir County, North Carolina",22131,15332,14676,1146,12110,37,107
"Lincoln County, North Carolina",41524,31453,29908,2639,24283,37,109
"McDowell County, North Carolina",18297,13311,12865,1118,11173,37,111
"Macon County, North Carolina",15362,10757,9763,1118,8141,37,113
"Madison County, North Carolina",9348,6041,5718,602,4669,37,115
"Martin County, North Carolina",8885,6081,5870,554,4709,37,117
"Mecklenburg County, North Carolina",590774,472076,446480,28722,292877,37,119
"Mitchell County, North Carolina",6316,4341,4105,345,3237,37,121
"Montgomery County, North Carolina",10716,7617,7300,695,6115,37,123
"Moore County, North Carolina",44256,26652,24739,3245,18470,37,125
"Nash County, North Carolina",42444,32197,31126,2111,25801,37,127
"New Hanover County, North Carolina",115016,82312,75685,9547,58347,37,129
"Northampton County, North Carolina",6529,4427,4115,452,3352,37,131
"Onslow County, North Carolina",104468,42971,41267,4064,30931,37,133
"Orange County, North Carolina",69679,38842,35865,4892,22870,37,135
"Pamlico County, North Carolina",4402,3159,2866,341,2517,37,137
"Pasquotank County, North Carolina",18395,11297,10595,1099,7841,37,139
"Pender County, North Carolina",27872,18616,17024,1971,13371,37,141
"Perquimans County, North Carolina",5011,3221,2809,306,2365,37,143
"Person County, North Carolina",18393,13697,12912,708,10210,37,145
"Pitt County, North Carolina",80221,53817,51102,3807,39710,37,147
"Polk County, North Carolina",8355,5997,5457,898,4484,37,149
"Randolph County, North Carolina",65475,49334,47110,3799,38222,37,151
"Richmond County, North Carolina",17681,12586,12213,656,10544,37,153
"Robeson County, North Carolina",43118,32642,31595,1811,27349,37,155
"Rockingham County, North Carolina",38800,29739,28044,2310,23251,37,157
"Rowan County, North Carolina",65043,48086,45984,3722,37237,37,159
"Rutherford County, North Carolina",26021,19509,18395,1605,14800,37,161
"Sampson County, North Carolina",24170,17073,14502,1718,12129,37,163
"Scotland County, North Carolina",12134,9152,8798,668,7387,37,165
"Stanly County, North Carolina",28124,21096,19571,1562,16035,37,167
"Stokes County, North Carolina",19243,14021,13610,1028,11818,37,169
"Surry County, North Carolina",31099,23669,22473,1829,18617,37,171
"Swain County, North Carolina",5620,3431,3233,323,2575,37,173
"Transylvania County, North Carolina",13645,9060,8445,1435,6897,37,175
"Tyrrell County, North Carolina",1176,765,723,36,571,37,177
"Union County, North Carolina",119069,91321,85455,6602,62449,37,179
"Vance County, North Carolina",17668,13201,12677,680,10267,37,181
"Wake County, North Carolina",591910,442181,417462,26397,280640,37,183
"Warren County, North Carolina",6896,5008,4746,423,3739,37,185
"Washington County, North Carolina",3906,2515,2323,241,1820,37,187
"Watauga County, North Carolina",25360,15726,14244,1944,11123,37,189
"Wayne County, North Carolina",52846,34834,33845,2262,27155,37,191
"Wilkes County, North Carolina",28177,20428,19651,1995,16144,37,193
"Wilson County, North Carolina",34109,25381,24184,1561,20137,37,195
"Yadkin County, North Carolina",16725,12395,11931,1236,10316,37,197
"Yancey County, North Carolina",7632,5068,4676,820,3978,37,199
"Abbeville County, South Carolina",9815,7208,6971,356,5778,45,001
"Aiken County, South Carolina",73609,52141,49303,3425,40985,45,003
"Allendale County, South Carolina",2606,1545,1520,102,1254,45,005
"Anderson County, South Carolina",91484,66072,62866,4724,52232,45,007
"Bamberg County, South Carolina",4756,3412,3070,259,2485,45,009
"Barnwell County, South Carolina",8688,6449,6123,215,4954,45,011
"Beaufort County, South Carolina",84685,56588,51423,6531,40940,45,013
"Berkeley County, South Carolina",113737,76164,71780,6049,59245,45,015
"Calhoun County, South Carolina",6093,4137,3931,219,3553,45,017
"Charleston County, South Carolina",210569,145182,134801,14167,99676,45,019
"Cherokee County, South Carolina",23919,17538,16984,1275,14682,45,021
"Chester County, South Carolina",13438,10033,9766,670,8167,45,023
"Chesterfield County, South Carolina",17675,13139,12495,886,10671,45,025
"Clarendon County, South Carolina",10781,7630,7267,684,5761,45,027
"Colleton County, South Carolina",15466,10646,10088,1252,8049,45,029
"Darlington County, South Carolina",25776,18925,18433,1091,15677,45,031
"Dillon County, South Carolina",11149,8406,8199,442,6193,45,033
"Dorchester County, South Carolina",77259,53697,51619,4120,43711,45,035
"Edgefield County, South Carolina",11020,8083,7753,462,6230,45,037
"Fairfield County, South Carolina",9136,6058,5710,375,4906,45,039
"Florence County, South Carolina",59787,41302,39154,2989,31751,45,041
"Georgetown County, South Carolina",25553,17122,15468,2248,12062,45,043
"Greenville County, South Carolina",257265,195744,185592,14138,145279,45,045
"Greenwood County, South Carolina",28878,21632,21018,939,18251,45,047
"Hampton County, South Carolina",7180,4796,4728,465,4057,45,049
"Horry County, South Carolina",152128,115224,108208,12194,87665,45,051
"Jasper County, South Carolina",11940,8510,8120,685,6705,45,053
"Kershaw County, South Carolina",28936,19294,18226,1734,15352,45,055
"Lancaster County, South Carolina",43090,33155,31670,1916,24824,45,057
"Laurens County, South Carolina",28596,20873,19982,1602,16112,45,059
"Lee County, South Carolina",5504,3593,3504,427,3024,45,061
"Lexington County, South Carolina",142954,99701,94527,7820,77726,45,063
"McCormick County, South Carolina",3174,2087,1976,143,1754,45,065
"Marion County, South Carolina",10681,7662,7139,562,6191,45,067
"Marlboro County, South Carolina",8693,6525,6391,361,5528,45,069
"Newberry County, South Carolina",16467,11127,10592,918,9115,45,071
"Oconee County, South Carolina",31671,21716,20595,3135,17086,45,073
"Orangeburg County, South Carolina",31563,22364,21306,2061,18190,45,075
"Pickens County, South Carolina",58591,42088,39795,2856,32807,45,077
"Richland County, South Carolina",202979,126427,120039,8478,89098,45,079
"Saluda County, South Carolina",7725,5523,5164,643,4209,45,081
"Spartanburg County, South Carolina",151753,116213,111365,6890,91123,45,083
"Sumter County, South Carolina",45080,27217,26067,2134,22536,45,085
"Union County, South Carolina",10591,7801,7486,395,6064,45,087
"Williamsburg County, South Carolina",11755,8806,8394,368,6920,45,089
"York County, South Carolina",139955,108852,103786,6339,78117,45,091
"Appling County, Georgia",7195,5309,4966,306,4068,13,001
"Atkinson County, Georgia",3523,2544,2451,222,2000,13,003
"Bacon County, Georgia",4213,3018,2836,188,2472,13,005
"Baker County, Georgia",875,541,493,88,443,13,007
"Baldwin County, Georgia",16374,11160,10687,632,9204,13,009
"Banks County, Georgia",8321,6012,5571,519,4754,13,011
"Barrow County, Georgia",40978,31212,29850,2248,24039,13,013
"Bartow County, Georgia",51272,39229,37559,2490,29674,13,015
"Ben Hill County, Georgia",7099,5245,4912,297,4168,13,017
"Berrien County, Georgia",7206,4648,4414,566,3827,13,019
"Bibb County, Georgia",63811,46204,43297,2466,35968,13,021
"Bleckley County, Georgia",4963,2752,2649,90,2126,13,023
"Brantley County, Georgia",6865,4973,4771,433,4077,13,025
"Brooks County, Georgia",6521,4677,4394,530,3823,13,027
"Bryan County, Georgia",21534,14587,13820,1197,11490,13,029
"Bulloch County, Georgia",34969,24071,22957,1816,18853,13,031
"Burke County, Georgia",10318,7475,6966,830,5728,13,033
"Butts County, Georgia",10025,7796,7297,474,6435,13,035
"Calhoun County, Georgia",1574,1082,991,71,777,13,037
"Camden County, Georgia",25574,14557,13750,1185,10958,13,039
"Candler County, Georgia",4429,3110,2937,296,2450,13,043
"Carroll County, Georgia",54488,41327,39257,2755,30821,13,045
"Catoosa County, Georgia",32259,24134,23201,2068,19861,13,047
"Charlton County, Georgia",4961,3603,3518,133,3341,13,049
"Chatham County, Georgia",143265,100888,93803,7778,71416,13,051
"Chattahoochee County, Georgia",5719,952,921,95,519,13,053
"Chattooga County, Georgia",8879,7063,6781,611,5857,13,055
"Cherokee County, Georgia",139111,107110,99514,8720,71874,13,057
"Clarke County, Georgia",62244,39033,36905,3181,27445,13,059
"Clay County, Georgia",1101,839,826,51,588,13,061
"Clayton County, Georgia",134762,102173,97555,5985,72294,13,063
"Clinch County, Georgia",2512,1446,1402,151,1184,13,065
"Cobb County, Georgia",401114,308969,288836,22172,202839,13,067
"Coffee County, Georgia",17589,13213,12598,963,10949,13,069
"Colquitt County, Georgia",19065,14314,13508,783,11368,13,071
"Columbia County, Georgia",75125,49136,46894,3117,38486,13,073
"Cook County, Georgia",7706,5471,5177,672,4222,13,075
"Coweta County, Georgia",72084,54263,51352,3104,40411,13,077
"Crawford County, Georgia",4844,3404,3271,438,2874,13,079
"Crisp County, Georgia",8315,5671,5434,806,4545,13,081
"Dade County, Georgia",6928,5127,4823,500,3884,13,083
"Dawson County, Georgia",13367,9930,9215,616,6926,13,085
"Decatur County, Georgia",10902,7546,7251,734,6038,13,087
"DeKalb County, Georgia",378641,276392,259330,16298,168353,13,089
"Dodge County, Georgia",7620,5288,5118,436,4368,13,091
"Dooly County, Georgia",3902,2619,2519,355,1976,13,093
"Dougherty County, Georgia",32937,21129,20232,1646,16377,13,095
"Douglas County, Georgia",69337,50673,48087,3674,38341,13,097
"Early County, Georgia",4220,2914,2791,152,2212,13,099
"Echols County, Georgia",1901,1367,1328,240,1152,13,101
"Effingham County, Georgia",30689,23207,22423,1360,19726,13,103
"Elbert County, Georgia",8440,5870,5665,713,4445,13,105
"Emanuel County, Georgia",8865,6410,6024,743,4645,13,107
"Evans County, Georgia",4262,3212,2910,179,2296,13,109
"Fannin County, Georgia",9711,6932,6114,1110,4669,13,111
"Fayette County, Georgia",54097,39788,36377,2695,26985,13,113
"Floyd County, Georgia",42651,31551,30144,2604,24252,13,115
"Forsyth County, Georgia",128130,101869,94345,8092,61597,13,117
"Franklin County, Georgia",9404,6896,6652,614,5442,13,119
"Fulton County, Georgia",551789,419097,387437,30167,239699,13,121
"Gilmer County, Georgia",13217,9526,8933,982,6964,13,123
"Glascock County, Georgia",1286,935,929,71,892,13,125
"Glynn County, Georgia",36929,25735,23925,2775,19322,13,127
"Gordon County, Georgia",26088,19867,18651,1337,14996,13,129
"Grady County, Georgia",10600,7360,6838,827,5149,13,131
"Greene County, Georgia",7261,5149,4747,602,3911,13,133
"Gwinnett County, Georgia",464985,357306,335858,26275,241721,13,135
"Habersham County, Georgia",20660,15039,14112,1234,11083,13,137
"Hall County, Georgia",97489,75472,71263,6316,53963,13,139
"Hancock County, Georgia",2445,1519,1460,131,1234,13,141
"Haralson County, Georgia",13781,10285,9695,711,7966,13,143
"Harris County, Georgia",15595,10378,9784,734,7521,13,145
"Hart County, Georgia",10998,7959,7528,922,6274,13,147
"Heard County, Georgia",4470,3383,3218,158,2775,13,149
"Henry County, Georgia",115681,82997,77717,6176,61510,13,151
"Houston County, Georgia",78041,46468,43618,3079,35219,13,153
"Irwin County, Georgia",3897,2599,2514,259,2190,13,155
"Jackson County, Georgia",36440,26974,25196,1751,20078,13,157
"Jasper County, Georgia",6326,4588,4354,273,3624,13,159
"Jeff Davis County, Georgia",5757,4611,4494,209,3932,13,161
"Jefferson County, Georgia",6165,4416,4182,358,3228,13,163
"Jenkins County, Georgia",2859,1561,1400,574,1235,13,165
"Johnson County, Georgia",3175,2210,2049,259,1586,13,167
"Jones County, Georgia",12627,9223,8692,465,7329,13,169
"Lamar County, Georgia",7952,5326,4823,342,4114,13,171
"Lanier County, Georgia",3781,2374,2281,211,1661,13,173
"Laurens County, Georgia",19037,12532,11986,700,10764,13,175
"Lee County, Georgia",15619,9820,9269,689,8010,13,177
"Liberty County, Georgia",29627,15553,14754,1157,11754,13,179
"Lincoln County, Georgia",3162,1998,1883,354,1654,13,181
"Long County, Georgia",7445,4627,4455,492,3239,13,183
"Lowndes County, Georgia",52388,35187,33587,2571,27754,13,185
"Lumpkin County, Georgia",15172,10099,9191,797,7749,13,187
"McDuffie County, Georgia",9457,7039,6712,404,5971,13,189
"McIntosh County, Georgia",4519,3164,2860,333,2380,13,191
"Macon County, Georgia",3533,2659,2355,186,1858,13,193
"Madison County, Georgia",12960,9420,8558,588,7244,13,195
"Marion County, Georgia",2806,2186,2065,190,1610,13,197
"Meriwether County, Georgia",7732,5776,5595,333,4932,13,199
"Miller County, Georgia",2382,1596,1489,184,1376,13,201
"Mitchell County, Georgia",7509,5124,4949,555,4315,13,205
"Monroe County, Georgia",12742,9266,8451,677,7252,13,207
"Montgomery County, Georgia",3395,2314,2118,284,1755,13,209
"Morgan County, Georgia",9658,6448,5906,798,5034,13,211
"Murray County, Georgia",17719,14914,14483,386,12562,13,213
"Muscogee County, Georgia",88082,56035,53870,3496,41191,13,215
"Newton County, Georgia",52493,37750,36088,3014,27655,13,217
"Oconee County, Georgia",20456,13227,11435,1168,8550,13,219
"Oglethorpe County, Georgia",6959,4290,4098,640,3532,13,221
"Paulding County, Georgia",82606,62019,58618,4260,45505,13,223
"Peach County, Georgia",11644,7913,7564,750,6077,13,225
"Pickens County, Georgia",15293,10900,10249,1046,7923,13,227
"Pierce County, Georgia",8446,6040,5856,564,5144,13,229
"Pike County, Georgia",8480,6092,5655,408,4731,13,231
"Polk County, Georgia",17896,13163,12421,1216,10141,13,233
"Pulaski County, Georgia",3555,2264,2211,74,1993,13,235
"Putnam County, Georgia",9295,6742,6080,642,5031,13,237
"Quitman County, Georgia",525,384,380,9,326,13,239
"Rabun County, Georgia",6735,4738,4309,761,3139,13,241
"Randolph County, Georgia",2390,1572,1522,179,1013,13,243
"Richmond County, Georgia",91150,60569,58526,2771,45189,13,245
"Rockdale County, Georgia",42514,31084,29348,2050,22319,13,247
"Schley County, Georgia",1857,1394,1354,49,1125,13,249
"Screven County, Georgia",5799,4137,3828,434,3181,13,251
"Seminole County, Georgia",3239,1918,1827,319,1551,13,253
"Spalding County, Georgia",27798,21310,20365,1372,17786,13,255
"Stephens County, Georgia",11191,8022,7680,945,6273,13,257
"Stewart County, Georgia",1450,1027,1015,19,800,13,259
"Sumter County, Georgia",11843,7965,7708,724,6132,13,261
"Talbot County, Georgia",2420,1603,1543,101,1216,13,263
"Taliaferro County, Georgia",670,393,382,66,360,13,265
"Tattnall County, Georgia",7609,5195,4754,555,3442,13,267
"Taylor County, Georgia",2827,1871,1806,125,1404,13,269
"Telfair County, Georgia",3676,2298,2194,313,2088,13,271
"Terrell County, Georgia",3275,2110,2010,243,1574,13,273
"Thomas County, Georgia",20528,14276,13225,1113,10597,13,275
"Tift County, Georgia",17682,13269,12652,816,10228,13,277
"Toombs County, Georgia",9940,6853,6416,566,5223,13,279
"Towns County, Georgia",4510,3047,2785,551,2107,13,281
"Treutlen County, Georgia",2163,1524,1486,112,1277,13,283
"Troup County, Georgia",30516,23291,22462,1357,18643,13,285
"Turner County, Georgia",3301,2351,2238,228,1677,13,287
"Twiggs County, Georgia",2727,1781,1689,211,1564,13,289
"Union County, Georgia",9400,6579,5749,1080,4540,13,291
"Upson County, Georgia",11247,8198,7948,455,6862,13,293
"Walker County, Georgia",29901,22524,21043,1933,17186,13,295
"Walton County, Georgia",45662,33444,31211,2732,24969,13,297
"Ware County, Georgia",12933,8848,8418,840,7387,13,299
"Warren County, Georgia",1993,1500,1444,76,1251,13,301
"Washington County, Georgia",7422,5009,4731,334,3957,13,303
"Wayne County, Georgia",10946,7543,7198,1128,5647,13,305
"Webster County, Georgia",958,645,607,47,536,13,307
"Wheeler County, Georgia",2736,1869,1836,179,1720,13,309
"White County, Georgia",12478,8636,7932,1030,6378,13,311
"Whitfield County, Georgia",47067,38017,36625,1815,30893,13,313
"Wilcox County, Georgia",2847,1923,1844,125,1583,13,315
"Wilkes County, Georgia",3867,2470,2361,349,2024,13,317
"Wilkinson County, Georgia",3231,2318,2269,162,2018,13,319
"Worth County, Georgia",8629,6634,6371,588,5600,13,321
