state,county,NAME,mean_commute_time
51,143,"Pittsylvania County, Virginia",26.2
51,145,"Powhatan County, Virginia",32.9
51,147,"Prince Edward County, Virginia",25.1
51,149,"Prince George County, Virginia",24.8
51,153,"Prince William County, Virginia",38.1
51,155,"Pulaski County, Virginia",24.3
51,157,"Rappahannock County, Virginia",38.3
51,159,"Richmond County, Virginia",27.4
51,161,"Roanoke County, Virginia",22.5
51,163,"Rockbridge County, Virginia",27.3
51,165,"Rockingham County, Virginia",21.7
51,167,"Russell County, Virginia",27.6
51,169,"Scott County, Virginia",30.1
51,171,"Shenandoah County, Virginia",29.8
51,173,"Smyth County, Virginia",22.5
51,175,"Southampton County, Virginia",33.7
51,177,"Spotsylvania County, Virginia",37.3
51,179,"Stafford County, Virginia",37.9
51,181,"Surry County, Virginia",40.3
51,183,"Sussex County, Virginia",34.7
51,185,"Tazewell County, Virginia",24.8
51,187,"Warren County, Virginia",40.1
51,191,"Washington County, Virginia",24.2
51,193,"Westmoreland County, Virginia",38.7
51,195,"Wise County, Virginia",23.3
51,197,"Wythe County, Virginia",24.8
51,199,"York County, Virginia",24.1
51,510,"Alexandria city, Virginia",30.1
51,520,"Bristol city, Virginia",19.1
51,530,"Buena Vista city, Virginia",15.3
51,540,"Charlottesville city, Virginia",17.0
51,550,"Chesapeake city, Virginia",26.0
51,570,"Colonial Heights city, Virginia",24.6
51,580,"Covington city, Virginia",16.7
51,590,"Danville city, Virginia",19.2
51,595,"Emporia city, Virginia",23.4
51,600,"Fairfax city, Virginia",28.5
51,610,"Falls Church city, Virginia",27.7
51,620,"Franklin city, Virginia",23.3
51,630,"Fredericksburg city, Virginia",32.4
51,640,"Galax city, Virginia",22.0
51,650,"Hampton city, Virginia",22.3
51,660,"Harrisonburg city, Virginia",17.3
51,670,"Hopewell city, Virginia",25.2
51,678,"Lexington city, Virginia",13.2
51,680,"Lynchburg city, Virginia",16.9
51,683,"Manassas city, Virginia",34.0
51,685,"Manassas Park city, Virginia",41.2
51,690,"Martinsville city, Virginia",19.6
51,700,"Newport News city, Virginia",23.4
51,710,"Norfolk city, Virginia",22.7
51,720,"Norton city, Virginia",20.1
51,730,"Petersburg city, Virginia",25.0
51,735,"Poquoson city, Virginia",25.8
51,740,"Portsmouth city, Virginia",23.2
51,750,"Radford city, Virginia",16.9
51,760,"Richmond city, Virginia",22.0
51,770,"Roanoke city, Virginia",20.9
51,775,"Salem city, Virginia",18.8
51,790,"Staunton city, Virginia",22.1
51,800,"Suffolk city, Virginia",29.6
51,810,"Virginia Beach city, Virginia",23.5
51,820,"Waynesboro city, Virginia",22.3
51,830,"Williamsburg city, Virginia",17.7
51,840,"Winchester city, Virginia",21.1
42,001,"Adams County, Pennsylvania",28.3
42,003,"Allegheny County, Pennsylvania",26.2
42,005,"Armstrong County, Pennsylvania",29.2
42,007,"Beaver County, Pennsylvania",25.7
42,009,"Bedford County, Pennsylvania",26.5
42,011,"Berks County, Pennsylvania",25.0
42,013,"Blair County, Pennsylvania",20.4
42,015,"Bradford County, Pennsylvania",23.7
42,017,"Bucks County, Pennsylvania",29.9
42,019,"Butler County, Pennsylvania",27.1
42,021,"Cambria County, Pennsylvania",23.9
42,023,"Cameron County, Pennsylvania",18.5
42,025,"Carbon County, Pennsylvania",31.6
42,027,"Centre County, Pennsylvania",20.4
42,029,"Chester County, Pennsylvania",27.6
42,031,"Clarion County, Pennsylvania",24.8
42,033,"Clearfield County, Pennsylvania",25.9
42,035,"Clinton County, Pennsylvania",23.8
42,037,"Columbia County, Pennsylvania",21.4
42,039,"Crawford County, Pennsylvania",22.5
42,041,"Cumberland County, Pennsylvania",22.4
42,043,"Dauphin County, Pennsylvania",21.8
42,045,"Delaware County, Pennsylvania",28.7
42,047,"Elk County, Pennsylvania",17.7
42,049,"Erie County, Pennsylvania",19.9
42,051,"Fayette County, Pennsylvania",27.3
42,053,"Forest County, Pennsylvania",25.9
42,055,"Franklin County, Pennsylvania",24.1
42,057,"Fulton County, Pennsylvania",32.0
42,059,"Greene County, Pennsylvania",28.2
42,061,"Huntingdon County, Pennsylvania",30.5
42,063,"Indiana County, Pennsylvania",24.5
42,065,"Jefferson County, Pennsylvania",24.3
42,067,"Juniata County, Pennsylvania",32.5
42,069,"Lackawanna County, Pennsylvania",21.4
42,071,"Lancaster County, Pennsylvania",23.8
42,073,"Lawrence County, Pennsylvania",23.7
42,075,"Lebanon County, Pennsylvania",22.2
42,077,"Lehigh County, Pennsylvania",24.7
42,079,"Luzerne County, Pennsylvania",23.8
42,081,"Lycoming County, Pennsylvania",20.7
42,083,"McKean County, Pennsylvania",20.7
42,085,"Mercer County, Pennsylvania",21.4
42,087,"Mifflin County, Pennsylvania",24.8
42,089,"Monroe County, Pennsylvania",39.8
42,091,"Montgomery County, Pennsylvania",28.2
42,093,"Montour County, Pennsylvania",18.7
42,095,"Northampton County, Pennsylvania",27.3
