area_fips,oz_tract_count,state_fips,state_name,state_abbr
13265,1,13,Georgia,GA
13267,2,13,Georgia,GA
13269,1,13,Georgia,GA
13271,1,13,Georgia,GA
13273,2,13,Georgia,GA
13275,2,13,Georgia,GA
13277,3,13,Georgia,GA
13279,1,13,Georgia,GA
13285,4,13,Georgia,GA
13293,2,13,Georgia,GA
13295,1,13,Georgia,GA
13297,1,13,Georgia,GA
13299,5,13,Georgia,GA
13301,1,13,Georgia,GA
13303,2,13,Georgia,GA
13305,1,13,Georgia,GA
21001,1,21,Kentucky,KY
21007,2,21,Kentucky,KY
21009,1,21,Kentucky,KY
21011,1,21,Kentucky,KY
21013,1,21,Kentucky,KY
21015,1,21,Kentucky,KY
21019,2,21,Kentucky,KY
21021,1,21,Kentucky,KY
21023,1,21,Kentucky,KY
21025,4,21,Kentucky,KY
21029,2,21,Kentucky,KY
21031,1,21,Kentucky,KY
21035,1,21,Kentucky,KY
21037,1,21,Kentucky,KY
21039,1,21,Kentucky,KY
21041,1,21,Kentucky,KY
21043,1,21,Kentucky,KY
21045,1,21,Kentucky,KY
21047,1,21,Kentucky,KY
21049,1,21,Kentucky,KY
21051,2,21,Kentucky,KY
21053,1,21,Kentucky,KY
21057,1,21,Kentucky,KY
21059,2,21,Kentucky,KY
21061,1,21,Kentucky,KY
21065,2,21,Kentucky,KY
21067,7,21,Kentucky,KY
21069,1,21,Kentucky,KY
21071,1,21,Kentucky,KY
21073,1,21,Kentucky,KY
21075,1,21,Kentucky,KY
21077,1,21,Kentucky,KY
21081,1,21,Kentucky,KY
21083,1,21,Kentucky,KY
21087,1,21,Kentucky,KY
21089,2,21,Kentucky,KY
21095,1,21,Kentucky,KY
21099,1,21,Kentucky,KY
21101,1,21,Kentucky,KY
21107,1,21,Kentucky,KY
21109,1,21,Kentucky,KY
21111,19,21,Kentucky,KY
21113,1,21,Kentucky,KY
21115,1,21,Kentucky,KY
21117,5,21,Kentucky,KY
21119,1,21,Kentucky,KY
21121,1,21,Kentucky,KY
21123,1,21,Kentucky,KY
21131,1,21,Kentucky,KY
21133,1,21,Kentucky,KY
21135,1,21,Kentucky,KY
21137,2,21,Kentucky,KY
21141,1,21,Kentucky,KY
21145,2,21,Kentucky,KY
21147,1,21,Kentucky,KY
21151,3,21,Kentucky,KY
21153,3,21,Kentucky,KY
21159,2,21,Kentucky,KY
21161,1,21,Kentucky,KY
21165,1,21,Kentucky,KY
21169,1,21,Kentucky,KY
21173,4,21,Kentucky,KY
21175,1,21,Kentucky,KY
21177,2,21,Kentucky,KY
21181,1,21,Kentucky,KY
21183,2,21,Kentucky,KY
21187,1,21,Kentucky,KY
21189,1,21,Kentucky,KY
21193,3,21,Kentucky,KY
21195,7,21,Kentucky,KY
21197,1,21,Kentucky,KY
21199,2,21,Kentucky,KY
21201,1,21,Kentucky,KY
21205,1,21,Kentucky,KY
21207,1,21,Kentucky,KY
21213,1,21,Kentucky,KY
21217,1,21,Kentucky,KY
21219,1,21,Kentucky,KY
21225,1,21,Kentucky,KY
21227,1,21,Kentucky,KY
21231,1,21,Kentucky,KY
21233,1,21,Kentucky,KY
21235,2,21,Kentucky,KY
21237,1,21,Kentucky,KY
24001,4,24,Maryland,MD
24003,4,24,Maryland,MD
24005,10,24,Maryland,MD
24009,3,24,Maryland,MD
24011,2,24,Maryland,MD
24013,1,24,Maryland,MD
24015,3,24,Maryland,MD
24017,3,24,Maryland,MD
24019,2,24,Maryland,MD
24021,5,24,Maryland,MD
24023,3,24,Maryland,MD
24025,4,24,Maryland,MD
24027,1,24,Maryland,MD
24029,1,24,Maryland,MD
24031,14,24,Maryland,MD
24033,25,24,Maryland,MD
24035,1,24,Maryland,MD
24037,1,24,Maryland,MD
24039,3,24,Maryland,MD
24041,2,24,Maryland,MD
24043,5,24,Maryland,MD
24045,7,24,Maryland,MD
24047,3,24,Maryland,MD
24510,42,24,Maryland,MD
37001,4,37,North Carolina,NC
37003,1,37,North Carolina,NC
37005,1,37,North Carolina,NC
37007,1,37,North Carolina,NC
37009,1,37,North Carolina,NC
37011,1,37,North Carolina,NC
37013,1,37,North Carolina,NC
37015,1,37,North Carolina,NC
37017,1,37,North Carolina,NC
37019,3,37,North Carolina,NC
37021,5,37,North Carolina,NC
37023,3,37,North Carolina,NC
37025,3,37,North Carolina,NC
