NAME,S2401_C01_001E,S2401_C01_002E,S2401_C01_003E,S2401_C01_004E,S2401_C01_005E,S2401_C01_006E,state,county
"Nottoway County, Virginia",6067,2002,840,631,209,264,51,135
"Orange County, Virginia",17572,6307,3020,1939,1081,1053,51,137
"Page County, Virginia",10954,2684,1071,847,224,250,51,139
"Patrick County, Virginia",7340,2340,1044,625,419,352,51,141
"Pittsylvania County, Virginia",25730,7179,2564,1998,566,661,51,143
"Powhatan County, Virginia",15352,7239,3370,2375,995,1240,51,145
"Prince Edward County, Virginia",8588,2985,1147,877,270,230,51,147
"Prince George County, Virginia",16431,5901,1968,1043,925,809,51,149
"Prince William County, Virginia",247709,116640,51567,31919,19648,27108,51,153
"Pulaski County, Virginia",15112,4702,1638,1155,483,639,51,155
"Rappahannock County, Virginia",3573,1397,652,509,143,196,51,157
"Richmond County, Virginia",3238,955,368,331,37,38,51,159
"Roanoke County, Virginia",47051,21246,8277,5122,3155,2888,51,161
"Rockbridge County, Virginia",10181,3887,1706,1339,367,220,51,163
"Rockingham County, Virginia",41862,14191,5675,4060,1615,1691,51,165
"Russell County, Virginia",8781,2630,743,554,189,364,51,167
"Scott County, Virginia",7886,2299,782,567,215,316,51,169
"Shenandoah County, Virginia",20670,6162,2494,1932,562,843,51,171
"Smyth County, Virginia",11921,3139,1096,667,429,254,51,173
"Southampton County, Virginia",7838,3096,1239,865,374,468,51,175
"Spotsylvania County, Virginia",70327,30315,12951,8105,4846,7026,51,177
"Stafford County, Virginia",76554,37529,14967,9033,5934,9681,51,179
"Surry County, Virginia",3147,944,291,214,77,118,51,181
"Sussex County, Virginia",4382,1234,578,384,194,159,51,183
"Tazewell County, Virginia",14328,4370,1484,1093,391,366,51,185
"Warren County, Virginia",19589,7168,3207,2169,1038,1365,51,187
"Washington County, Virginia",23968,8600,3388,2433,955,718,51,191
"Westmoreland County, Virginia",7016,2339,1066,786,280,605,51,193
"Wise County, Virginia",12651,4440,1237,944,293,564,51,195
"Wythe County, Virginia",12623,3959,1698,1395,303,240,51,197
"York County, Virginia",31845,17323,6579,3503,3076,3797,51,199
"Alexandria city, Virginia",96223,60203,27059,15478,11581,12360,51,510
"Bristol city, Virginia",7430,2452,904,648,256,408,51,520
"Buena Vista city, Virginia",3117,915,461,324,137,38,51,530
"Charlottesville city, Virginia",23975,14509,4407,2772,1635,2725,51,540
"Chesapeake city, Virginia",117682,51684,20060,12141,7919,10698,51,550
"Colonial Heights city, Virginia",8700,3424,1173,636,537,609,51,570
"Covington city, Virginia",2357,547,122,114,8,65,51,580
"Danville city, Virginia",16670,4363,1519,1020,499,356,51,590
"Emporia city, Virginia",2185,466,215,157,58,69,51,595
"Fairfax city, Virginia",13137,7542,2761,1634,1127,2170,51,600
"Falls Church city, Virginia",7941,5652,2520,1582,938,1350,51,610
"Franklin city, Virginia",3449,1013,522,437,85,84,51,620
"Fredericksburg city, Virginia",14745,7345,3330,1817,1513,1299,51,630
"Galax city, Virginia",2796,862,388,333,55,72,51,640
"Hampton city, Virginia",62438,23142,8391,5202,3189,5098,51,650
"Harrisonburg city, Virginia",24694,9052,2762,1655,1107,1522,51,660
"Hopewell city, Virginia",9568,2152,932,539,393,324,51,670
"Lexington city, Virginia",2808,1499,273,241,32,296,51,678
"Lynchburg city, Virginia",36550,14857,5208,3377,1831,2177,51,680
"Manassas city, Virginia",22899,9259,3976,2505,1471,2027,51,683
"Manassas Park city, Virginia",9964,3423,1373,823,550,1184,51,685
"Martinsville city, Virginia",5554,1577,509,301,208,249,51,690
"Newport News city, Virginia",84879,30031,10578,7070,3508,6453,51,700
"Norfolk city, Virginia",102606,38287,13083,8168,4915,6512,51,710
"Norton city, Virginia",1505,615,329,290,39,128,51,720
"Petersburg city, Virginia",14367,4119,1456,854,602,635,51,730
"Poquoson city, Virginia",6241,3139,1331,878,453,710,51,735
"Portsmouth city, Virginia",41764,13655,5122,3069,2053,2341,51,740
"Radford city, Virginia",7936,3267,781,638,143,643,51,750
"Richmond city, Virginia",121796,56201,21739,12493,9246,8493,51,760
"Roanoke city, Virginia",46998,16609,6456,3802,2654,2147,51,770
"Salem city, Virginia",12483,5011,1847,1213,634,564,51,775
"Staunton city, Virginia",12367,4531,1531,1090,441,480,51,790
"Suffolk city, Virginia",44358,18354,7405,4695,2710,3570,51,800
"Virginia Beach city, Virginia",224334,101233,40466,25297,15169,18514,51,810
"Waynesboro city, Virginia",10895,4140,1587,1124,463,440,51,820
"Williamsburg city, Virginia",6417,2650,851,571,280,540,51,830
"Winchester city, Virginia",14519,5909,1929,1377,552,986,51,840
"Adams County, Pennsylvania",51985,16740,6485,4633,1852,2223,42,001
"Allegheny County, Pennsylvania",640039,316625,121174,71203,49971,60953,42,003
"Armstrong County, Pennsylvania",30185,8934,3102,2192,910,1013,42,005
"Beaver County, Pennsylvania",80302,29573,12105,7952,4153,4548,42,007
"Bedford County, Pennsylvania",22220,6698,2707,2229,478,753,42,009
"Berks County, Pennsylvania",211422,72569,28505,18916,9589,11387,42,011
"Blair County, Pennsylvania",57506,19574,7247,5098,2149,2431,42,013
