NAME,S2401_C01_001E,S2401_C01_002E,S2401_C01_003E,S2401_C01_004E,S2401_C01_005E,S2401_C01_006E,state,county
"Davidson County, Tennessee",396132,187392,79105,50319,28786,26226,47,037
"Decatur County, Tennessee",4419,1253,437,208,229,108,47,039
"DeKalb County, Tennessee",8292,2444,1046,744,302,146,47,041
"Dickson County, Tennessee",26078,8705,3962,2793,1169,1092,47,043
"Dyer County, Tennessee",15967,4847,1587,1285,302,712,47,045
"Fayette County, Tennessee",19462,7238,3172,2097,1075,1115,47,047
"Fentress County, Tennessee",7223,1993,933,807,126,122,47,049
"Franklin County, Tennessee",19502,6323,2568,1635,933,743,47,051
"Gibson County, Tennessee",21560,6542,2618,1958,660,526,47,053
"Giles County, Tennessee",13161,3886,1794,1311,483,354,47,055
"Grainger County, Tennessee",9746,2763,983,793,190,287,47,057
"Greene County, Tennessee",29264,8562,3093,2100,993,716,47,059
"Grundy County, Tennessee",5389,1548,529,485,44,208,47,061
"Hamblen County, Tennessee",27038,7300,2885,2386,499,834,47,063
"Hamilton County, Tennessee",182855,76132,31909,20117,11792,10217,47,065
"Hancock County, Tennessee",2183,646,202,148,54,68,47,067
"Hardeman County, Tennessee",9045,2188,579,447,132,297,47,069
"Hardin County, Tennessee",10609,3096,1281,868,413,319,47,071
"Hawkins County, Tennessee",21929,6530,2346,1485,861,987,47,073
"Haywood County, Tennessee",7268,1737,735,614,121,76,47,075
"Henderson County, Tennessee",11599,3569,1306,928,378,449,47,077
"Henry County, Tennessee",12788,3847,1740,1418,322,357,47,079
"Hickman County, Tennessee",10515,3274,1048,810,238,732,47,081
"Houston County, Tennessee",3288,802,329,306,23,86,47,083
"Humphreys County, Tennessee",7793,2290,761,608,153,314,47,085
"Jackson County, Tennessee",4796,1061,259,188,71,113,47,087
"Jefferson County, Tennessee",25277,7804,2797,2258,539,582,47,089
"Johnson County, Tennessee",6444,1642,795,643,152,137,47,091
"Knox County, Tennessee",242346,105217,39871,25872,13999,18248,47,093
"Lake County, Tennessee",1712,383,153,143,10,4,47,095
"Lauderdale County, Tennessee",9295,2185,711,617,94,260,47,097
"Lawrence County, Tennessee",18492,5507,1605,1206,399,596,47,099
"Lewis County, Tennessee",5243,1432,577,424,153,90,47,101
"Lincoln County, Tennessee",16035,5467,1948,1487,461,919,47,103
"Loudon County, Tennessee",24434,8338,3998,3004,994,1399,47,105
"McMinn County, Tennessee",22798,6943,2431,1944,487,931,47,107
"McNairy County, Tennessee",9761,2936,963,720,243,224,47,109
"Macon County, Tennessee",11837,2700,1095,908,187,280,47,111
"Madison County, Tennessee",44897,15865,5943,4324,1619,1188,47,113
"Marion County, Tennessee",12226,3138,1359,1043,316,319,47,115
"Marshall County, Tennessee",16205,5202,1987,1352,635,994,47,117
"Maury County, Tennessee",50758,17701,6766,4382,2384,2693,47,119
"Meigs County, Tennessee",5006,1383,642,474,168,89,47,121
"Monroe County, Tennessee",18236,4174,1567,1043,524,442,47,123
"Montgomery County, Tennessee",94591,33286,12412,8369,4043,4297,47,125
"Moore County, Tennessee",2967,834,389,351,38,107,47,127
"Morgan County, Tennessee",7312,2330,967,620,347,184,47,129
"Obion County, Tennessee",13360,3928,1562,1136,426,378,47,131
"Overton County, Tennessee",10201,3008,1316,949,367,270,47,133
"Perry County, Tennessee",3096,872,332,280,52,71,47,135
"Pickett County, Tennessee",1714,690,318,222,96,0,47,137
"Polk County, Tennessee",7328,2331,905,628,277,316,47,139
"Putnam County, Tennessee",38060,13267,4664,3311,1353,1777,47,141
"Rhea County, Tennessee",13057,3163,1486,1041,445,331,47,143
"Roane County, Tennessee",23668,8972,3478,1991,1487,1666,47,145
"Robertson County, Tennessee",35880,13204,5740,3986,1754,1671,47,147
"Rutherford County, Tennessee",184020,69293,29310,19314,9996,10338,47,149
"Scott County, Tennessee",7930,2412,935,740,195,171,47,151
"Sequatchie County, Tennessee",6391,1653,605,463,142,236,47,153
"Sevier County, Tennessee",46821,13363,6483,5086,1397,1086,47,155
"Shelby County, Tennessee",429064,160708,66968,43615,23353,21679,47,157
"Smith County, Tennessee",9192,2552,917,532,385,329,47,159
"Stewart County, Tennessee",5613,1838,851,732,119,254,47,161
"Sullivan County, Tennessee",69206,25485,9457,6681,2776,3674,47,163
"Sumner County, Tennessee",99744,39442,17393,12047,5346,4727,47,165
"Tipton County, Tennessee",27734,9062,3459,2312,1147,1106,47,167
"Trousdale County, Tennessee",5122,1223,433,235,198,34,47,169
"Unicoi County, Tennessee",7626,2410,816,587,229,295,47,171
"Union County, Tennessee",8181,2218,888,746,142,177,47,173
"Van Buren County, Tennessee",2448,826,513,416,97,46,47,175
"Warren County, Tennessee",17684,4753,1860,1519,341,535,47,177
"Washington County, Tennessee",63338,26390,8685,6408,2277,2949,47,179
"Wayne County, Tennessee",6254,2032,619,444,175,177,47,181
"Weakley County, Tennessee",14126,4882,1561,1127,434,401,47,183
"White County, Tennessee",11226,3146,1278,1082,196,281,47,185
"Williamson County, Tennessee",127487,73194,35149,22319,12830,11619,47,187
"Wilson County, Tennessee",74682,31181,14078,9508,4570,4620,47,189
"Alamance County, North Carolina",82298,28451,11986,8059,3927,3843,37,001
"Alexander County, North Carolina",16607,4527,1829,1283,546,388,37,003
"Alleghany County, North Carolina",4396,1613,656,545,111,103,37,005
"Anson County, North Carolina",8731,1839,605,438,167,189,37,007
"Ashe County, North Carolina",11710,3603,1486,1045,441,231,37,009
"Avery County, North Carolina",6698,2184,911,669,242,134,37,011
"Beaufort County, North Carolina",19319,6288,2228,1513,715,579,37,013
"Bertie County, North Carolina",6308,1839,718,560,158,162,37,015
"Bladen County, North Carolina",10949,3260,1370,1010,360,200,37,017
"Brunswick County, North Carolina",56463,20321,8580,6125,2455,2805,37,019
"Buncombe County, North Carolina",131883,54842,19618,14254,5364,8291,37,021
"Burke County, North Carolina",39539,12492,4737,3493,1244,1399,37,023
"Cabarrus County, North Carolina",113579,49050,19965,13093,6872,9016,37,025
"Caldwell County, North Carolina",36435,10404,4097,2957,1140,1219,37,027
"Camden County, North Carolina",4793,2211,1023,716,307,341,37,029
"Carteret County, North Carolina",30029,11463,4559,3452,1107,1604,37,031
"Caswell County, North Carolina",9556,2860,1024,674,350,198,37,033
"Catawba County, North Carolina",75895,25426,11451,8515,2936,2765,37,035
"Chatham County, North Carolina",35458,17499,7956,5095,2861,2407,37,037
"Cherokee County, North Carolina",11391,3369,1189,984,205,444,37,039
"Chowan County, North Carolina",5922,2021,981,777,204,159,37,041
"Clay County, North Carolina",4386,1666,687,450,237,141,37,043
"Cleveland County, North Carolina",43294,13617,4833,3463,1370,1848,37,045
"Columbus County, North Carolina",18872,5841,2003,1592,411,491,37,047
"Craven County, North Carolina",40158,14562,5290,3511,1779,2382,37,049
"Cumberland County, North Carolina",125174,43372,15037,10284,4753,5127,37,051
"Currituck County, North Carolina",14123,5343,2540,1786,754,756,37,053
"Dare County, North Carolina",19041,7654,3321,2481,840,864,37,055
"Davidson County, North Carolina",77106,24361,10351,6907,3444,2525,37,057
"Davie County, North Carolina",19800,7328,3401,2520,881,743,37,059
"Duplin County, North Carolina",21679,5800,2458,2161,297,625,37,061
"Durham County, North Carolina",171659,93612,34134,21516,12618,18511,37,063
"Edgecombe County, North Carolina",20366,5528,2098,1483,615,482,37,065
"Forsyth County, North Carolina",178260,74750,28811,18186,10625,10457,37,067
"Franklin County, North Carolina",32725,11967,5407,3431,1976,1469,37,069
"Gaston County, North Carolina",109133,37914,16754,11362,5392,5319,37,071
"Gates County, North Carolina",4560,1043,497,348,149,102,37,073
"Graham County, North Carolina",3171,898,285,268,17,36,37,075
"Granville County, North Carolina",26914,10262,3989,2589,1400,1325,37,077
"Greene County, North Carolina",8089,2374,736,639,97,212,37,079
"Guilford County, North Carolina",263584,103647,42165,27417,14748,15943,37,081
"Halifax County, North Carolina",18296,5316,1808,1433,375,646,37,083
"Harnett County, North Carolina",54157,18712,7254,5179,2075,2746,37,085
"Haywood County, North Carolina",28010,10605,4679,3341,1338,1132,37,087
"Henderson County, North Carolina",54554,19150,7234,5259,1975,2559,37,089
"Hertford County, North Carolina",8643,2548,886,653,233,201,37,091
"Hoke County, North Carolina",19188,6485,2069,1435,634,849,37,093
"Hyde County, North Carolina",1410,522,379,276,103,84,37,095
"Iredell County, North Carolina",93283,34655,16124,11292,4832,5303,37,097
"Jackson County, North Carolina",19135,6525,1803,1427,376,884,37,099
"Johnston County, North Carolina",108178,39868,17152,11881,5271,5878,37,101
"Jones County, North Carolina",3858,1046,463,315,148,42,37,103
"Lee County, North Carolina",28570,8833,3354,2438,916,1430,37,105
"Lenoir County, North Carolina",22701,6467,2255,1687,568,503,37,107
"Lincoln County, North Carolina",42710,16128,7792,5619,2173,2061,37,109
"McDowell County, North Carolina",18793,5281,1981,1661,320,506,37,111
"Macon County, North Carolina",15716,5034,2092,1754,338,555,37,113
"Madison County, North Carolina",9715,3825,1658,1184,474,311,37,115
"Martin County, North Carolina",9084,2676,806,694,112,269,37,117
"Mecklenburg County, North Carolina",603786,285054,141571,83413,58158,48908,37,119
"Mitchell County, North Carolina",6538,2250,844,675,169,177,37,121
"Montgomery County, North Carolina",10947,3260,1209,827,382,387,37,123
"Moore County, North Carolina",41529,17004,6586,4449,2137,1798,37,125
"Nash County, North Carolina",43173,14247,6100,4191,1909,1777,37,127
"New Hanover County, North Carolina",117011,50814,21516,15212,6304,6365,37,129
"Northampton County, North Carolina",6852,1978,877,738,139,192,37,131
"Onslow County, North Carolina",67951,23133,8619,6225,2394,2716,37,133
"Orange County, North Carolina",72303,43115,12409,8344,4065,8943,37,135
"Pamlico County, North Carolina",4494,1247,430,304,126,152,37,137
"Pasquotank County, North Carolina",17817,6023,2457,1631,826,540,37,139
"Pender County, North Carolina",27737,10201,4408,3471,937,1480,37,141
"Perquimans County, North Carolina",5120,1573,789,623,166,140,37,143
"Person County, North Carolina",18735,6232,2612,1809,803,988,37,145
"Pitt County, North Carolina",80853,33077,10824,7842,2982,4621,37,147
"Polk County, North Carolina",8553,2947,1112,798,314,347,37,149
"Randolph County, North Carolina",67217,19666,9392,6774,2618,2286,37,151
"Richmond County, North Carolina",17862,5327,2097,1482,615,284,37,153
"Robeson County, North Carolina",43618,11905,4224,3140,1084,834,37,155
"Rockingham County, North Carolina",39418,11153,4243,2994,1249,1587,37,157
"Rowan County, North Carolina",66742,21217,8717,5963,2754,2559,37,159
"Rutherford County, North Carolina",26708,7710,2818,2218,600,788,37,161
"Sampson County, North Carolina",24799,7047,3013,2300,713,342,37,163
"Scotland County, North Carolina",12673,3296,1233,1067,166,302,37,165
"Stanly County, North Carolina",28739,8621,3244,2490,754,994,37,167
"Stokes County, North Carolina",19662,5971,2170,1670,500,886,37,169
"Surry County, North Carolina",31768,9535,3724,2796,928,896,37,171
"Swain County, North Carolina",5754,1731,617,421,196,176,37,173
"Transylvania County, North Carolina",14196,5301,2211,1712,499,442,37,175
"Tyrrell County, North Carolina",1180,365,130,124,6,49,37,177
"Union County, North Carolina",120938,54421,27637,18142,9495,7700,37,179
"Vance County, North Carolina",18177,5442,2144,1388,756,327,37,181
"Wake County, North Carolina",601289,334932,144437,88918,55519,82348,37,183
"Warren County, North Carolina",7084,2046,1014,817,197,227,37,185
"Washington County, North Carolina",3893,1021,540,421,119,72,37,187
"Watauga County, North Carolina",26404,10403,4866,3406,1460,582,37,189
"Wayne County, North Carolina",50428,15724,6187,4227,1960,1677,37,191
"Wilkes County, North Carolina",28568,8077,3099,2330,769,838,37,193
"Wilson County, North Carolina",34334,12051,4954,3630,1324,1606,37,195
"Yadkin County, North Carolina",16900,5567,2272,1799,473,773,37,197
"Yancey County, North Carolina",7696,2324,890,705,185,229,37,199
"Abbeville County, South Carolina",10114,3247,1363,1163,200,421,45,001
"Aiken County, South Carolina",74124,28314,10194,7256,2938,5582,45,003
"Allendale County, South Carolina",2635,797,299,274,25,67,45,005
"Anderson County, South Carolina",92914,34061,11757,8395,3362,5226,45,007
"Bamberg County, South Carolina",5043,1176,374,305,69,84,45,009
"Barnwell County, South Carolina",8808,2051,929,664,265,194,45,011
"Beaufort County, South Carolina",79528,30259,12656,9369,3287,2616,45,013
"Berkeley County, South Carolina",108726,39313,15183,10616,4567,8044,45,015
"Calhoun County, South Carolina",6185,2180,740,434,306,268,45,017
"Charleston County, South Carolina",211159,101235,42697,29392,13305,15333,45,019
"Cherokee County, South Carolina",24212,6734,2604,1931,673,679,45,021
"Chester County, South Carolina",13708,3107,1281,985,296,359,45,023
"Chesterfield County, South Carolina",18142,4340,1578,1072,506,529,45,025
"Clarendon County, South Carolina",11104,2996,1360,1022,338,192,45,027
"Colleton County, South Carolina",15659,4147,1510,1229,281,345,45,029
"Darlington County, South Carolina",26305,8270,2586,1870,716,1380,45,031
"Dillon County, South Carolina",11296,2391,899,720,179,109,45,033
"Dorchester County, South Carolina",77519,30382,12467,9018,3449,5292,45,035
"Edgefield County, South Carolina",11160,3269,1072,877,195,470,45,037
"Fairfield County, South Carolina",9232,2755,1234,759,475,336,45,039
"Florence County, South Carolina",60040,21045,7305,4746,2559,2597,45,041
"Georgetown County, South Carolina",26060,8728,3234,2267,967,851,45,043
"Greenville County, South Carolina",262211,110956,45893,30440,15453,18322,45,045
"Greenwood County, South Carolina",29395,9310,3288,2435,853,1290,45,047
"Hampton County, South Carolina",7271,1842,801,667,134,162,45,049
"Horry County, South Carolina",154728,48934,21085,15720,5365,4919,45,051
"Jasper County, South Carolina",12154,2875,988,706,282,431,45,053
"Kershaw County, South Carolina",28928,9917,4092,2916,1176,1255,45,055
"Lancaster County, South Carolina",43504,16965,7274,4780,2494,2521,45,057
"Laurens County, South Carolina",29264,7979,2940,2166,774,1118,45,059
"Lee County, South Carolina",5624,1327,470,400,70,93,45,061
"Lexington County, South Carolina",144281,57937,24000,16817,7183,7755,45,063
"McCormick County, South Carolina",3263,1168,407,348,59,72,45,065
"Marion County, South Carolina",10801,2860,924,750,174,206,45,067
"Marlboro County, South Carolina",8922,2004,543,364,179,383,45,069
"Newberry County, South Carolina",16966,5549,1949,1466,483,385,45,071
"Oconee County, South Carolina",32079,11305,4170,3038,1132,1478,45,073
"Orangeburg County, South Carolina",32571,8809,2904,2204,700,846,45,075
"Pickens County, South Carolina",60097,22998,8302,6055,2247,2713,45,077
"Richland County, South Carolina",196460,84189,32727,20994,11733,11121,45,079
"Saluda County, South Carolina",8043,2269,1066,684,382,255,45,081
"Spartanburg County, South Carolina",154712,49474,19018,13082,5936,7138,45,083
"Sumter County, South Carolina",42030,13455,4824,3653,1171,1644,45,085
"Union County, South Carolina",10913,2645,994,705,289,270,45,087
"Williamsburg County, South Carolina",12034,3161,1079,866,213,278,45,089
"York County, South Carolina",141825,60223,27554,17542,10012,10007,45,091
"Appling County, Georgia",7394,2065,784,590,194,170,13,001
"Atkinson County, Georgia",3605,976,387,264,123,6,13,003
"Bacon County, Georgia",4253,1072,324,282,42,41,13,005
"Baker County, Georgia",900,317,195,135,60,41,13,007
"Baldwin County, Georgia",16838,5690,2126,1604,522,577,13,009
"Banks County, Georgia",8420,2841,1029,635,394,510,13,011
"Barrow County, Georgia",41974,13816,5640,3776,1864,2086,13,013
"Bartow County, Georgia",52132,16329,7041,4748,2293,2107,13,015
"Ben Hill County, Georgia",7089,1737,710,584,126,171,13,017
"Berrien County, Georgia",7257,2224,871,760,111,228,13,019
"Bibb County, Georgia",64934,23511,9416,5844,3572,2108,13,021
"Bleckley County, Georgia",5005,1748,562,495,67,147,13,023
"Brantley County, Georgia",6986,1774,535,350,185,101,13,025
"Brooks County, Georgia",6627,1621,656,595,61,117,13,027
"Bryan County, Georgia",20236,8614,3533,2536,997,1041,13,029
"Bulloch County, Georgia",36155,11683,4219,3259,960,1119,13,031
"Burke County, Georgia",10558,2301,816,563,253,553,13,033
"Butts County, Georgia",10251,3089,1265,822,443,455,13,035
"Calhoun County, Georgia",1603,525,257,238,19,18,13,037
"Camden County, Georgia",21987,7157,2830,1944,886,1223,13,039
"Candler County, Georgia",4464,1436,472,346,126,175,13,043
"Carroll County, Georgia",56102,18356,8219,5523,2696,1968,13,045
"Catoosa County, Georgia",32689,11139,4489,2928,1561,1387,13,047
"Charlton County, Georgia",4993,1012,254,208,46,91,13,049
"Chatham County, Georgia",142627,54571,21482,13872,7610,6311,13,051
"Chattahoochee County, Georgia",1494,420,134,80,54,12,13,053
"Chattooga County, Georgia",9156,2011,757,494,263,192,13,055
"Cherokee County, Georgia",141191,62318,30707,19712,10995,10630,13,057
"Clarke County, Georgia",63458,28801,8537,5657,2880,4644,13,059
"Clay County, Georgia",1132,190,71,71,0,5,13,061
"Clayton County, Georgia",138006,35909,15100,9753,5347,4248,13,063
"Clinch County, Georgia",2515,708,228,163,65,58,13,065
"Cobb County, Georgia",409632,199117,92990,58269,34721,37885,13,067
"Coffee County, Georgia",17710,4915,2361,1753,608,82,13,069
"Colquitt County, Georgia",19342,5460,2134,1631,503,340,13,071
"Columbia County, Georgia",73121,32411,12280,8992,3288,5659,13,073
"Cook County, Georgia",7551,2115,774,627,147,201,13,075
"Coweta County, Georgia",73138,29276,12510,8314,4196,4636,13,077
"Crawford County, Georgia",5008,1460,619,475,144,145,13,079
"Crisp County, Georgia",8630,2265,870,768,102,147,13,081
"Dade County, Georgia",7073,2091,952,730,222,375,13,083
"Dawson County, Georgia",13604,6003,2541,1725,816,796,13,085
"Decatur County, Georgia",11043,3007,1196,926,270,370,13,087
"DeKalb County, Georgia",388455,186836,78093,45307,32786,33416,13,089
"Dodge County, Georgia",7728,2197,947,768,179,141,13,091
"Dooly County, Georgia",3958,1189,582,503,79,106,13,093
"Dougherty County, Georgia",33442,10924,3861,2645,1216,1152,13,095
"Douglas County, Georgia",70280,25576,10013,6682,3331,3355,13,097
"Early County, Georgia",4258,1134,476,369,107,59,13,099
"Echols County, Georgia",1901,286,126,118,8,0,13,101
"Effingham County, Georgia",30888,11225,4346,2681,1665,1625,13,103
"Elbert County, Georgia",8514,2107,891,778,113,105,13,105
"Emanuel County, Georgia",9194,2379,804,568,236,261,13,107
"Evans County, Georgia",4406,1215,556,394,162,115,13,109
"Fannin County, Georgia",9979,3232,1549,1095,454,194,13,111
"Fayette County, Georgia",54962,27207,12233,9114,3119,4244,13,113
"Floyd County, Georgia",43616,13420,4420,3016,1404,1296,13,115
"Forsyth County, Georgia",130217,72363,32433,21827,10606,19157,13,117
"Franklin County, Georgia",9505,2810,997,900,97,317,13,119
"Fulton County, Georgia",561697,312242,145955,89651,56304,60320,13,121
"Gilmer County, Georgia",13571,4325,1514,1195,319,358,13,123
"Glascock County, Georgia",1321,288,60,18,42,45,13,125
"Glynn County, Georgia",37799,13756,5853,3893,1960,1211,13,127
"Gordon County, Georgia",26411,7563,3310,2250,1060,884,13,129
"Grady County, Georgia",11042,3710,1198,876,322,194,13,131
"Greene County, Georgia",7356,2455,1229,769,460,203,13,133
"Gwinnett County, Georgia",483028,197090,85824,55671,30153,37733,13,135
"Habersham County, Georgia",21126,6633,2442,1657,785,824,13,137
"Hall County, Georgia",98562,32154,14828,10145,4683,3732,13,139
"Hancock County, Georgia",2530,528,192,192,0,0,13,141
"Haralson County, Georgia",14044,4513,1983,1510,473,533,13,143
"Harris County, Georgia",15747,6906,2760,1893,867,887,13,145
"Hart County, Georgia",11046,3346,1456,1180,276,270,13,147
"Heard County, Georgia",4705,1238,458,244,214,134,13,149
"Henry County, Georgia",118323,41916,17276,12042,5234,5081,13,151
"Houston County, Georgia",75113,28698,11141,6680,4461,5745,13,153
"Irwin County, Georgia",3917,1156,448,360,88,164,13,155
"Jackson County, Georgia",36907,14454,6518,4282,2236,2530,13,157
"Jasper County, Georgia",6491,1876,963,763,200,123,13,159
"Jeff Davis County, Georgia",5783,1621,665,543,122,66,13,161
"Jefferson County, Georgia",6243,1779,925,641,284,104,13,163
"Jenkins County, Georgia",2940,822,321,321,0,94,13,165
"Johnson County, Georgia",3228,745,225,137,88,80,13,167
"Jones County, Georgia",12693,4464,1898,1099,799,476,13,169
"Lamar County, Georgia",8047,2419,810,499,311,382,13,171
"Lanier County, Georgia",3521,1015,345,279,66,47,13,173
"Laurens County, Georgia",19467,6296,2711,2022,689,511,13,175
"Lee County, Georgia",15880,7606,2708,2144,564,1039,13,177
"Liberty County, Georgia",23685,7708,2548,1791,757,926,13,179
"Lincoln County, Georgia",3203,1052,432,272,160,107,13,181
"Long County, Georgia",6873,1704,976,831,145,103,13,183
"Lowndes County, Georgia",49794,15889,5789,3846,1943,1533,13,185
"Lumpkin County, Georgia",15327,4880,1763,1216,547,641,13,187
"McDuffie County, Georgia",9547,2957,743,496,247,323,13,189
"McIntosh County, Georgia",4513,1122,423,314,109,75,13,191
"Macon County, Georgia",3556,846,409,332,77,62,13,193
"Madison County, Georgia",13312,4165,1687,1389,298,374,13,195
"Marion County, Georgia",2826,748,323,300,23,67,13,197
"Meriwether County, Georgia",7997,2092,1117,834,283,165,13,199
"Miller County, Georgia",2430,891,259,207,52,91,13,201
"Mitchell County, Georgia",7811,2197,815,581,234,238,13,205
"Monroe County, Georgia",13152,4874,1888,1309,579,399,13,207
"Montgomery County, Georgia",3438,1092,362,307,55,70,13,209
"Morgan County, Georgia",9855,3876,1537,1029,508,411,13,211
"Murray County, Georgia",17895,4003,1719,1311,408,562,13,213
"Muscogee County, Georgia",82874,29506,10702,6793,3909,3383,13,215
"Newton County, Georgia",52737,18024,7385,4865,2520,2641,13,217
"Oconee County, Georgia",20702,11037,3977,2771,1206,1527,13,219
"Oglethorpe County, Georgia",7068,2454,988,856,132,194,13,221
"Paulding County, Georgia",84122,31766,14528,9760,4768,4088,13,223
"Peach County, Georgia",11891,3597,1159,770,389,747,13,225
"Pickens County, Georgia",15344,4909,2061,1304,757,653,13,227
"Pierce County, Georgia",8474,2357,761,600,161,158,13,229
"Pike County, Georgia",8685,3217,1500,972,528,365,13,231
"Polk County, Georgia",18253,4173,1504,978,526,440,13,233
"Pulaski County, Georgia",3787,1285,312,206,106,103,13,235
"Putnam County, Georgia",9259,3145,1463,1045,418,368,13,237
"Quitman County, Georgia",525,99,68,34,34,0,13,239
"Rabun County, Georgia",6849,2305,1094,884,210,244,13,241
"Randolph County, Georgia",2452,564,99,94,5,30,13,243
"Richmond County, Georgia",86632,27451,8695,5365,3330,4455,13,245
"Rockdale County, Georgia",43301,14855,5640,3392,2248,2043,13,247
"Schley County, Georgia",1880,593,175,161,14,34,13,249
"Screven County, Georgia",5894,1597,532,485,47,228,13,251
"Seminole County, Georgia",3304,1172,462,316,146,80,13,253
"Spalding County, Georgia",28392,7934,2876,2012,864,650,13,255
"Stephens County, Georgia",11303,2908,1138,923,215,165,13,257
"Stewart County, Georgia",1480,316,126,28,98,4,13,259
"Sumter County, Georgia",12148,4260,1232,886,346,867,13,261
"Talbot County, Georgia",2455,817,326,206,120,46,13,263
"Taliaferro County, Georgia",668,133,46,42,4,26,13,265
"Tattnall County, Georgia",7916,2524,738,502,236,280,13,267
"Taylor County, Georgia",3011,839,300,204,96,103,13,269
"Telfair County, Georgia",3698,941,318,203,115,70,13,271
"Terrell County, Georgia",3305,728,279,207,72,67,13,273
"Thomas County, Georgia",21032,7304,2956,2056,900,725,13,275
"Tift County, Georgia",17809,5968,2285,1504,781,835,13,277
"Toombs County, Georgia",10157,3318,1248,895,353,256,13,279
"Towns County, Georgia",4631,1501,551,387,164,149,13,281
"Treutlen County, Georgia",2223,786,256,183,73,49,13,283
"Troup County, Georgia",31000,9008,3541,2311,1230,1205,13,285
"Turner County, Georgia",3341,795,278,193,85,39,13,287
"Twiggs County, Georgia",2760,565,155,137,18,129,13,289
"Union County, Georgia",9721,3534,1641,1400,241,366,13,291
"Upson County, Georgia",11347,3264,1372,1032,340,310,13,293
"Walker County, Georgia",30682,9436,3717,2519,1198,704,13,295
"Walton County, Georgia",46541,15947,7021,4834,2187,2209,13,297
"Ware County, Georgia",13100,3902,1401,1027,374,196,13,299
"Warren County, Georgia",2020,478,172,146,26,91,13,301
"Washington County, Georgia",7809,2376,784,534,250,278,13,303
"Wayne County, Georgia",11345,3128,1152,941,211,335,13,305
"Webster County, Georgia",993,284,159,153,6,5,13,307
"Wheeler County, Georgia",2763,370,191,133,58,0,13,309
"White County, Georgia",12598,4203,1381,963,418,350,13,311
"Whitfield County, Georgia",47406,12636,5288,3735,1553,1233,13,313
"Wilcox County, Georgia",2894,820,385,339,46,56,13,315
"Wilkes County, Georgia",3964,998,440,339,101,105,13,317
"Wilkinson County, Georgia",3256,728,275,199,76,88,13,319
"Worth County, Georgia",8679,2270,750,602,148,220,13,321
