NAME,NESTAB,NRCPTOT,NAICS2017,state,county
"Pike County, Pennsylvania",4361,234422,00,42,103
"Potter County, Pennsylvania",1158,61083,00,42,105
"Snyder County, Pennsylvania",3054,166988,00,42,109
"Schuylkill County, Pennsylvania",7114,374485,00,42,107
"Somerset County, Pennsylvania",4497,226765,00,42,111
"Sullivan County, Pennsylvania",467,24984,00,42,113
"Susquehanna County, Pennsylvania",3018,170725,00,42,115
"Tioga County, Pennsylvania",2582,115506,00,42,117
"Union County, Pennsylvania",2874,179212,00,42,119
"Venango County, Pennsylvania",2739,119109,00,42,121
"Warren County, Pennsylvania",2142,96326,00,42,123
"Washington County, Pennsylvania",13779,730486,00,42,125
"Wayne County, Pennsylvania",4029,226958,00,42,127
"Westmoreland County, Pennsylvania",22366,1080449,00,42,129
"Allegany County, Maryland",3374,136672,00,24,001
"Anne Arundel County, Maryland",50187,2545956,00,24,003
"Baltimore County, Maryland",77695,3787672,00,24,005
"Worcester County, Maryland",5731,328574,00,24,047
"Baltimore city, Maryland",42408,1658153,00,24,510
"Calvert County, Maryland",7342,310271,00,24,009
"Caroline County, Maryland",2682,133038,00,24,011
"Carroll County, Maryland",14047,683652,00,24,013
"Cecil County, Maryland",6497,305705,00,24,015
"Charles County, Maryland",14352,497371,00,24,017
"Dorchester County, Maryland",2729,128602,00,24,019
"Frederick County, Maryland",24319,1218524,00,24,021
"Garrett County, Maryland",2500,139701,00,24,023
"Harford County, Maryland",20210,953385,00,24,025
"Howard County, Maryland",32434,1678599,00,24,027
"Kent County, Maryland",1929,105206,00,24,029
"Montgomery County, Maryland",121256,6852931,00,24,031
"Prince George's County, Maryland",92095,3182248,00,24,033
"Queen Anne's County, Maryland",5383,338727,00,24,035
"St. Mary's County, Maryland",7991,335867,00,24,037
"Somerset County, Maryland",1542,58797,00,24,039
"Talbot County, Maryland",4515,270479,00,24,041
"Wicomico County, Maryland",7334,355328,00,24,045
"Washington County, Maryland",10376,474287,00,24,043
"Kent County, Delaware",13959,1047327,00,10,001
"New Castle County, Delaware",47351,3376560,00,10,003
"Sussex County, Delaware",20901,1443545,00,10,005
"Boone County, West Virginia",669,22183,00,54,005
"Barbour County, West Virginia",672,24691,00,54,001
"Braxton County, West Virginia",506,15923,00,54,007
"Wood County, West Virginia",4024,171107,00,54,107
"Wyoming County, West Virginia",685,22696,00,54,109
"Berkeley County, West Virginia",7366,302665,00,54,003
"Brooke County, West Virginia",971,41836,00,54,009
"Cabell County, West Virginia",4804,208458,00,54,011
"Calhoun County, West Virginia",355,9988,00,54,013
"Clay County, West Virginia",349,14364,00,54,015
"Doddridge County, West Virginia",269,9731,00,54,017
"Fayette County, West Virginia",1788,72691,00,54,019
"Gilmer County, West Virginia",320,12901,00,54,021
"Grant County, West Virginia",689,32424,00,54,023
"Greenbrier County, West Virginia",2179,88673,00,54,025
"Hardy County, West Virginia",867,30292,00,54,031
"Hampshire County, West Virginia",1424,72850,00,54,027
"Hancock County, West Virginia",1241,42803,00,54,029
"Harrison County, West Virginia",3742,165914,00,54,033
"Jackson County, West Virginia",1412,63062,00,54,035
"Jefferson County, West Virginia",4073,179734,00,54,037
"Kanawha County, West Virginia",9069,404196,00,54,039
"Lewis County, West Virginia",838,33099,00,54,041
"Lincoln County, West Virginia",620,19323,00,54,043
"Logan County, West Virginia",1146,42924,00,54,045
"McDowell County, West Virginia",451,16843,00,54,047
"Marion County, West Virginia",2715,103761,00,54,049
"Mercer County, West Virginia",3164,120784,00,54,055
"Marshall County, West Virginia",1175,39176,00,54,051
"Mineral County, West Virginia",1379,54571,00,54,057
"Mason County, West Virginia",979,35114,00,54,053
"Mingo County, West Virginia",786,26394,00,54,059
"Monongalia County, West Virginia",6195,297236,00,54,061
"Monroe County, West Virginia",762,31796,00,54,063
"Morgan County, West Virginia",1185,48386,00,54,065
"Nicholas County, West Virginia",1193,49186,00,54,067
"Ohio County, West Virginia",2562,123967,00,54,069
"Pendleton County, West Virginia",492,18926,00,54,071
"Pleasants County, West Virginia",260,9258,00,54,073
"Pocahontas County, West Virginia",571,22411,00,54,075
"Preston County, West Virginia",1728,73021,00,54,077
