state,county,NAME,pct_pre_1960,total_units,units_pre_1960
42,043,"Dauphin County, Pennsylvania",39.82317665742255,126567,50403
42,045,"Delaware County, Pennsylvania",58.53937539021739,229039,134078
42,047,"Elk County, Pennsylvania",50.041425020712516,16898,8456
42,049,"Erie County, Pennsylvania",46.826786756734215,119910,56150
42,051,"Fayette County, Pennsylvania",53.86984920570922,62005,33402
42,053,"Forest County, Pennsylvania",33.88218594748048,7045,2387
42,055,"Franklin County, Pennsylvania",30.414039101184475,66443,20208
42,057,"Fulton County, Pennsylvania",31.746031746031743,7119,2260
42,059,"Greene County, Pennsylvania",49.82391102873031,16185,8064
42,061,"Huntingdon County, Pennsylvania",39.00844586534332,20957,8175
42,063,"Indiana County, Pennsylvania",40.85142523488508,37678,15392
42,065,"Jefferson County, Pennsylvania",48.95535916610016,22065,10802
42,067,"Juniata County, Pennsylvania",35.307560464673394,10502,3708
42,069,"Lackawanna County, Pennsylvania",54.26926926926927,99900,54215
42,071,"Lancaster County, Pennsylvania",33.34426017581443,216592,72221
42,073,"Lawrence County, Pennsylvania",55.82263475168361,39647,22132
42,075,"Lebanon County, Pennsylvania",40.89473595325351,59213,24215
42,077,"Lehigh County, Pennsylvania",42.464437268141666,149876,63644
42,079,"Luzerne County, Pennsylvania",51.26023130198496,150885,77344
42,081,"Lycoming County, Pennsylvania",48.80864232689716,52671,25708
42,083,"McKean County, Pennsylvania",60.271377368151555,19530,11771
42,085,"Mercer County, Pennsylvania",46.341032288475134,50916,23595
42,087,"Mifflin County, Pennsylvania",50.086484970314615,21391,10714
42,089,"Monroe County, Pennsylvania",17.03642112954634,79377,13523
42,091,"Montgomery County, Pennsylvania",38.29970117568332,346692,132782
42,093,"Montour County, Pennsylvania",32.41106719367589,8096,2624
42,095,"Northampton County, Pennsylvania",42.74764335598635,127724,54599
42,097,"Northumberland County, Pennsylvania",55.15581454269065,43417,23947
42,099,"Perry County, Pennsylvania",33.72611944040516,19943,6726
42,101,"Philadelphia County, Pennsylvania",66.53655064807084,730630,486136
42,103,"Pike County, Pennsylvania",15.94334163584673,39747,6337
42,105,"Potter County, Pennsylvania",39.03993545784591,12395,4839
42,107,"Schuylkill County, Pennsylvania",62.32622385931559,67328,41963
42,109,"Snyder County, Pennsylvania",35.29963131912766,16003,5649
