park_code,park_name,designation,states,has_boundary,STATEFP,COUNTYFP,county_name
cajo,Captain John Smith Chesapeake National Historic Trail,National Historic Trail,"VA,MD,DE,DC,PA,NY",True,51,093,Isle of Wight
cajo,Captain John Smith Chesapeake National Historic Trail,National Historic Trail,"VA,MD,DE,DC,PA,NY",True,24,003,Anne Arundel
cajo,Captain John Smith Chesapeake National Historic Trail,National Historic Trail,"VA,MD,DE,DC,PA,NY",True,51,087,Henrico
cajo,Captain John Smith Chesapeake National Historic Trail,National Historic Trail,"VA,MD,DE,DC,PA,NY",True,10,005,Sussex
cajo,Captain John Smith Chesapeake National Historic Trail,National Historic Trail,"VA,MD,DE,DC,PA,NY",True,42,097,Northumberland
cajo,Captain John Smith Chesapeake National Historic Trail,National Historic Trail,"VA,MD,DE,DC,PA,NY",True,42,069,Lackawanna
cajo,Captain John Smith Chesapeake National Historic Trail,National Historic Trail,"VA,MD,DE,DC,PA,NY",True,51,127,New Kent
cajo,Captain John Smith Chesapeake National Historic Trail,National Historic Trail,"VA,MD,DE,DC,PA,NY",True,51,019,Bedford
cajo,Captain John Smith Chesapeake National Historic Trail,National Historic Trail,"VA,MD,DE,DC,PA,NY",True,42,131,Wyoming
cajo,Captain John Smith Chesapeake National Historic Trail,National Historic Trail,"VA,MD,DE,DC,PA,NY",True,51,153,Prince William
cajo,Captain John Smith Chesapeake National Historic Trail,National Historic Trail,"VA,MD,DE,DC,PA,NY",True,24,033,Prince George's
cajo,Captain John Smith Chesapeake National Historic Trail,National Historic Trail,"VA,MD,DE,DC,PA,NY",True,24,027,Howard
cajo,Captain John Smith Chesapeake National Historic Trail,National Historic Trail,"VA,MD,DE,DC,PA,NY",True,51,036,Charles City
cajo,Captain John Smith Chesapeake National Historic Trail,National Historic Trail,"VA,MD,DE,DC,PA,NY",True,42,133,York
cajo,Captain John Smith Chesapeake National Historic Trail,National Historic Trail,"VA,MD,DE,DC,PA,NY",True,24,031,Montgomery
cajo,Captain John Smith Chesapeake National Historic Trail,National Historic Trail,"VA,MD,DE,DC,PA,NY",True,51,013,Arlington
cajo,Captain John Smith Chesapeake National Historic Trail,National Historic Trail,"VA,MD,DE,DC,PA,NY",True,24,035,Queen Anne's
cajo,Captain John Smith Chesapeake National Historic Trail,National Historic Trail,"VA,MD,DE,DC,PA,NY",True,51,700,Newport News
cajo,Captain John Smith Chesapeake National Historic Trail,National Historic Trail,"VA,MD,DE,DC,PA,NY",True,24,041,Talbot
cajo,Captain John Smith Chesapeake National Historic Trail,National Historic Trail,"VA,MD,DE,DC,PA,NY",True,51,049,Cumberland
cajo,Captain John Smith Chesapeake National Historic Trail,National Historic Trail,"VA,MD,DE,DC,PA,NY",True,24,045,Wicomico
cajo,Captain John Smith Chesapeake National Historic Trail,National Historic Trail,"VA,MD,DE,DC,PA,NY",True,51,740,Portsmouth
cajo,Captain John Smith Chesapeake National Historic Trail,National Historic Trail,"VA,MD,DE,DC,PA,NY",True,24,039,Somerset
cajo,Captain John Smith Chesapeake National Historic Trail,National Historic Trail,"VA,MD,DE,DC,PA,NY",True,24,025,Harford
cajo,Captain John Smith Chesapeake National Historic Trail,National Historic Trail,"VA,MD,DE,DC,PA,NY",True,51,001,Accomack
cajo,Captain John Smith Chesapeake National Historic Trail,National Historic Trail,"VA,MD,DE,DC,PA,NY",True,51,003,Albemarle
cajo,Captain John Smith Chesapeake National Historic Trail,National Historic Trail,"VA,MD,DE,DC,PA,NY",True,24,037,St. Mary's
cajo,Captain John Smith Chesapeake National Historic Trail,National Historic Trail,"VA,MD,DE,DC,PA,NY",True,24,029,Kent
cajo,Captain John Smith Chesapeake National Historic Trail,National Historic Trail,"VA,MD,DE,DC,PA,NY",True,51,710,Norfolk
cajo,Captain John Smith Chesapeake National Historic Trail,National Historic Trail,"VA,MD,DE,DC,PA,NY",True,51,023,Botetourt
cajo,Captain John Smith Chesapeake National Historic Trail,National Historic Trail,"VA,MD,DE,DC,PA,NY",True,51,193,Westmoreland
cajo,Captain John Smith Chesapeake National Historic Trail,National Historic Trail,"VA,MD,DE,DC,PA,NY",True,42,093,Montour
cajo,Captain John Smith Chesapeake National Historic Trail,National Historic Trail,"VA,MD,DE,DC,PA,NY",True,51,163,Rockbridge
cajo,Captain John Smith Chesapeake National Historic Trail,National Historic Trail,"VA,MD,DE,DC,PA,NY",True,51,125,Nelson
cajo,Captain John Smith Chesapeake National Historic Trail,National Historic Trail,"VA,MD,DE,DC,PA,NY",True,51,011,Appomattox
cajo,Captain John Smith Chesapeake National Historic Trail,National Historic Trail,"VA,MD,DE,DC,PA,NY",True,42,041,Cumberland
cajo,Captain John Smith Chesapeake National Historic Trail,National Historic Trail,"VA,MD,DE,DC,PA,NY",True,42,079,Luzerne
cajo,Captain John Smith Chesapeake National Historic Trail,National Historic Trail,"VA,MD,DE,DC,PA,NY",True,51,065,Fluvanna
cajo,Captain John Smith Chesapeake National Historic Trail,National Historic Trail,"VA,MD,DE,DC,PA,NY",True,24,017,Charles
