fips,NAME,median_age
21051,"Clay County, Kentucky",40.4
21053,"Clinton County, Kentucky",42.4
21055,"Crittenden County, Kentucky",43.4
21057,"Cumberland County, Kentucky",45.4
21059,"Daviess County, Kentucky",38.7
21061,"Edmonson County, Kentucky",45.0
21063,"Elliott County, Kentucky",43.6
21065,"Estill County, Kentucky",43.7
21067,"Fayette County, Kentucky",35.2
21069,"Fleming County, Kentucky",40.8
21071,"Floyd County, Kentucky",42.9
21073,"Franklin County, Kentucky",40.0
21075,"Fulton County, Kentucky",39.2
21077,"Gallatin County, Kentucky",38.7
21079,"Garrard County, Kentucky",43.5
21081,"Grant County, Kentucky",36.5
21083,"Graves County, Kentucky",39.9
21085,"Grayson County, Kentucky",40.0
21087,"Green County, Kentucky",45.1
21089,"Greenup County, Kentucky",43.8
21091,"Hancock County, Kentucky",41.2
21093,"Hardin County, Kentucky",37.2
21095,"Harlan County, Kentucky",41.2
21097,"Harrison County, Kentucky",42.6
21099,"Hart County, Kentucky",40.3
21101,"Henderson County, Kentucky",41.0
21103,"Henry County, Kentucky",41.4
21105,"Hickman County, Kentucky",46.6
21107,"Hopkins County, Kentucky",41.4
21109,"Jackson County, Kentucky",40.9
21111,"Jefferson County, Kentucky",38.5
21113,"Jessamine County, Kentucky",38.4
21115,"Johnson County, Kentucky",41.7
21117,"Kenton County, Kentucky",37.7
21119,"Knott County, Kentucky",44.2
21121,"Knox County, Kentucky",40.1
21123,"Larue County, Kentucky",41.3
21125,"Laurel County, Kentucky",39.8
21127,"Lawrence County, Kentucky",41.2
21129,"Lee County, Kentucky",41.8
21131,"Leslie County, Kentucky",43.2
21133,"Letcher County, Kentucky",42.7
21135,"Lewis County, Kentucky",42.5
21137,"Lincoln County, Kentucky",41.4
21139,"Livingston County, Kentucky",46.0
21141,"Logan County, Kentucky",40.8
21143,"Lyon County, Kentucky",47.9
21145,"McCracken County, Kentucky",42.5
21147,"McCreary County, Kentucky",39.2
21149,"McLean County, Kentucky",43.2
21151,"Madison County, Kentucky",34.4
21153,"Magoffin County, Kentucky",41.4
21155,"Marion County, Kentucky",39.8
21157,"Marshall County, Kentucky",44.6
21159,"Martin County, Kentucky",39.8
21161,"Mason County, Kentucky",42.1
21163,"Meade County, Kentucky",39.2
21165,"Menifee County, Kentucky",43.4
21167,"Mercer County, Kentucky",43.1
21169,"Metcalfe County, Kentucky",42.6
21171,"Monroe County, Kentucky",41.2
21173,"Montgomery County, Kentucky",40.5
21175,"Morgan County, Kentucky",42.3
21177,"Muhlenberg County, Kentucky",43.0
21179,"Nelson County, Kentucky",39.9
21181,"Nicholas County, Kentucky",38.9
21183,"Ohio County, Kentucky",41.0
21185,"Oldham County, Kentucky",39.5
21187,"Owen County, Kentucky",42.9
21189,"Owsley County, Kentucky",48.0
21191,"Pendleton County, Kentucky",41.7
21193,"Perry County, Kentucky",41.3
21195,"Pike County, Kentucky",42.5
21197,"Powell County, Kentucky",39.5
21199,"Pulaski County, Kentucky",41.8
21201,"Robertson County, Kentucky",39.0
21203,"Rockcastle County, Kentucky",42.9
21205,"Rowan County, Kentucky",30.6
21207,"Russell County, Kentucky",42.4
21209,"Scott County, Kentucky",36.1
21211,"Shelby County, Kentucky",40.6
21213,"Simpson County, Kentucky",39.2
21215,"Spencer County, Kentucky",42.9
21217,"Taylor County, Kentucky",37.3
21219,"Todd County, Kentucky",36.6
21221,"Trigg County, Kentucky",45.8
21223,"Trimble County, Kentucky",42.0
21225,"Union County, Kentucky",41.3
21227,"Warren County, Kentucky",33.3
21229,"Washington County, Kentucky",42.3
21231,"Wayne County, Kentucky",43.4
21233,"Webster County, Kentucky",39.7
21235,"Whitley County, Kentucky",36.1
21237,"Wolfe County, Kentucky",41.0
21239,"Woodford County, Kentucky",42.5
47001,"Anderson County, Tennessee",42.1
47003,"Bedford County, Tennessee",37.9
47005,"Benton County, Tennessee",47.9
47007,"Bledsoe County, Tennessee",44.6
47009,"Blount County, Tennessee",43.8
47011,"Bradley County, Tennessee",39.9
47013,"Campbell County, Tennessee",44.2
47015,"Cannon County, Tennessee",40.7
47017,"Carroll County, Tennessee",41.7
47019,"Carter County, Tennessee",46.0
47021,"Cheatham County, Tennessee",40.9
47023,"Chester County, Tennessee",38.0
47025,"Claiborne County, Tennessee",42.0
47027,"Clay County, Tennessee",47.4
47029,"Cocke County, Tennessee",45.5
47031,"Coffee County, Tennessee",39.3
47033,"Crockett County, Tennessee",40.2
47035,"Cumberland County, Tennessee",52.6
47037,"Davidson County, Tennessee",34.7
47039,"Decatur County, Tennessee",45.8
47041,"DeKalb County, Tennessee",42.1
47043,"Dickson County, Tennessee",39.2
47045,"Dyer County, Tennessee",40.5
47047,"Fayette County, Tennessee",46.8
47049,"Fentress County, Tennessee",46.3
47051,"Franklin County, Tennessee",42.4
47053,"Gibson County, Tennessee",39.8
47055,"Giles County, Tennessee",43.7
47057,"Grainger County, Tennessee",45.6
47059,"Greene County, Tennessee",44.7
47061,"Grundy County, Tennessee",43.1
47063,"Hamblen County, Tennessee",41.2
47065,"Hamilton County, Tennessee",39.7
47067,"Hancock County, Tennessee",44.9
47069,"Hardeman County, Tennessee",40.7
47071,"Hardin County, Tennessee",45.5
47073,"Hawkins County, Tennessee",45.5
47075,"Haywood County, Tennessee",43.1
47077,"Henderson County, Tennessee",40.7
47079,"Henry County, Tennessee",45.7
47081,"Hickman County, Tennessee",41.8
47083,"Houston County, Tennessee",44.1
47085,"Humphreys County, Tennessee",43.0
47087,"Jackson County, Tennessee",47.3
47089,"Jefferson County, Tennessee",44.4
47091,"Johnson County, Tennessee",46.2
47093,"Knox County, Tennessee",37.4
47095,"Lake County, Tennessee",41.8
47097,"Lauderdale County, Tennessee",38.9
47099,"Lawrence County, Tennessee",39.0
47101,"Lewis County, Tennessee",42.2
47103,"Lincoln County, Tennessee",43.2
47105,"Loudon County, Tennessee",48.5
47107,"McMinn County, Tennessee",42.3
47109,"McNairy County, Tennessee",42.9
47111,"Macon County, Tennessee",39.1
47113,"Madison County, Tennessee",38.4
47115,"Marion County, Tennessee",43.6
47117,"Marshall County, Tennessee",39.3
47119,"Maury County, Tennessee",39.4
47121,"Meigs County, Tennessee",45.5
47123,"Monroe County, Tennessee",44.6
47125,"Montgomery County, Tennessee",31.4
47127,"Moore County, Tennessee",46.4
47129,"Morgan County, Tennessee",41.6
47131,"Obion County, Tennessee",42.3
47133,"Overton County, Tennessee",43.1
47135,"Perry County, Tennessee",42.8
47137,"Pickett County, Tennessee",51.1
47139,"Polk County, Tennessee",46.3
47141,"Putnam County, Tennessee",36.3
47143,"Rhea County, Tennessee",40.9
47145,"Roane County, Tennessee",47.4
47147,"Robertson County, Tennessee",39.4
47149,"Rutherford County, Tennessee",34.0
47151,"Scott County, Tennessee",40.7
47153,"Sequatchie County, Tennessee",44.4
47155,"Sevier County, Tennessee",43.9
47157,"Shelby County, Tennessee",35.9
47159,"Smith County, Tennessee",40.5
47161,"Stewart County, Tennessee",44.3
