fips,NAME,population_2000,population_2022,population_growth_pct
13125,"Glascock County, Georgia",2556,2903.0,13.575899843505477
13127,"Glynn County, Georgia",67568,84566.0,25.156878995974424
13129,"Gordon County, Georgia",44104,57785.0,31.019862144023218
13131,"Grady County, Georgia",23659,26075.0,10.211758738746354
13133,"Greene County, Georgia",14406,19020.0,32.02832153269471
13135,"Gwinnett County, Georgia",588448,957977.0,62.797222524335204
13137,"Habersham County, Georgia",35902,46326.0,29.034594173026573
13139,"Hall County, Georgia",139277,204953.0,47.15495020714117
13141,"Hancock County, Georgia",10076,8588.0,-14.767764986105597
13143,"Haralson County, Georgia",25690,30178.0,17.46983261969638
13145,"Harris County, Georgia",23695,34914.0,47.347541675458956
13147,"Hart County, Georgia",22997,26110.0,13.536548245423315
13149,"Heard County, Georgia",11012,11489.0,4.331638212858699
13151,"Henry County, Georgia",119341,240853.0,101.81915686981004
13153,"Houston County, Georgia",110765,164117.0,48.1668397056832
13155,"Irwin County, Georgia",9931,9487.0,-4.470848857114087
13157,"Jackson County, Georgia",41589,77033.0,85.22445839043978
13159,"Jasper County, Georgia",11426,14882.0,30.24680553124453
13161,"Jeff Davis County, Georgia",12684,14791.0,16.61147902869757
13163,"Jefferson County, Georgia",17266,15591.0,-9.70114676242326
13165,"Jenkins County, Georgia",8575,8704.0,1.5043731778425657
13167,"Johnson County, Georgia",8560,9225.0,7.768691588785047
13169,"Jones County, Georgia",23639,28382.0,20.06430052032658
13171,"Lamar County, Georgia",15912,18676.0,17.37053795877325
13173,"Lanier County, Georgia",7241,9964.0,37.60530313492612
13175,"Laurens County, Georgia",44874,49407.0,10.101617863350715
13177,"Lee County, Georgia",24757,32968.0,33.16637718625035
13179,"Liberty County, Georgia",61610,65550.0,6.395065736081805
13181,"Lincoln County, Georgia",8348,7726.0,-7.450886439865837
13183,"Long County, Georgia",10304,16804.0,63.08229813664597
13185,"Lowndes County, Georgia",92115,118257.0,28.37974271291321
13187,"Lumpkin County, Georgia",21016,33405.0,58.95032356299962
13189,"McDuffie County, Georgia",21231,21715.0,2.279685365738778
13191,"McIntosh County, Georgia",10847,11183.0,3.0976306812943672
13193,"Macon County, Georgia",14074,12099.0,-14.032968594571551
13195,"Madison County, Georgia",25730,30378.0,18.064516129032256
13197,"Marion County, Georgia",7144,7508.0,5.09518477043673
13199,"Meriwether County, Georgia",22534,20679.0,-8.232004970267152
13201,"Miller County, Georgia",6383,5923.0,-7.206642644524518
13205,"Mitchell County, Georgia",23932,21634.0,-9.602206251044626
13207,"Monroe County, Georgia",21757,28287.0,30.01332904352622
13209,"Montgomery County, Georgia",8270,8687.0,5.042321644498187
13211,"Morgan County, Georgia",15457,20171.0,30.49750921912402
13213,"Murray County, Georgia",36506,40063.0,9.743603791157618
13215,"Muscogee County, Georgia",186291,204572.0,9.813141805025472
13217,"Newton County, Georgia",62001,113298.0,82.73576232641409
13219,"Oconee County, Georgia",26225,41978.0,60.06863679694947
13221,"Oglethorpe County, Georgia",12635,14974.0,18.51206964780372
13223,"Paulding County, Georgia",81678,169898.0,108.00950072234873
13225,"Peach County, Georgia",23668,28054.0,18.531350346459355
13227,"Pickens County, Georgia",22983,33439.0,45.49449593177566
13229,"Pierce County, Georgia",15636,19822.0,26.771552826809923
13231,"Pike County, Georgia",13688,19145.0,39.867036820572764
13233,"Polk County, Georgia",38127,43019.0,12.830802318566894
13235,"Pulaski County, Georgia",9588,9887.0,3.1184814351272423
13237,"Putnam County, Georgia",18812,22206.0,18.041675526259834
13239,"Quitman County, Georgia",2598,2180.0,-16.08929946112394
13241,"Rabun County, Georgia",15050,16915.0,12.39202657807309
13243,"Randolph County, Georgia",7791,6365.0,-18.303170324733667
13245,"Richmond County, Georgia",199775,206153.0,3.192591665623827
13247,"Rockdale County, Georgia",70111,93641.0,33.56106745018613
13249,"Schley County, Georgia",3766,4565.0,21.216144450345194
13251,"Screven County, Georgia",15374,14026.0,-8.768049954468584
13253,"Seminole County, Georgia",9369,9117.0,-2.689721421709894
13255,"Spalding County, Georgia",58417,67415.0,15.403050481880273
13257,"Stephens County, Georgia",25435,26732.0,5.0992726557892665
13259,"Stewart County, Georgia",5252,5121.0,-2.4942878903274943
13261,"Sumter County, Georgia",33200,29378.0,-11.512048192771084
13263,"Talbot County, Georgia",6498,5793.0,-10.84949215143121
13265,"Taliaferro County, Georgia",2077,1635.0,-21.28069330765527
