state,county,NAME,EMP_ambulatory,EMP_hospitals,total_healthcare_employment
21,163,"Meade County, Kentucky",195,0.0,195.0
21,165,"Menifee County, Kentucky",76,0.0,76.0
21,167,"Mercer County, Kentucky",108,0.0,108.0
21,169,"Metcalfe County, Kentucky",51,0.0,51.0
21,171,"Monroe County, Kentucky",132,0.0,132.0
21,173,"Montgomery County, Kentucky",433,0.0,433.0
21,175,"Morgan County, Kentucky",120,0.0,120.0
21,177,"Muhlenberg County, Kentucky",471,0.0,471.0
21,179,"Nelson County, Kentucky",673,0.0,673.0
21,181,"Nicholas County, Kentucky",39,0.0,39.0
21,183,"Ohio County, Kentucky",215,0.0,215.0
21,185,"Oldham County, Kentucky",1001,0.0,1001.0
21,187,"Owen County, Kentucky",44,0.0,44.0
21,189,"Owsley County, Kentucky",104,0.0,104.0
21,191,"Pendleton County, Kentucky",56,0.0,56.0
21,193,"Perry County, Kentucky",1054,0.0,1054.0
21,195,"Pike County, Kentucky",1585,0.0,1585.0
21,197,"Powell County, Kentucky",92,0.0,92.0
21,199,"Pulaski County, Kentucky",2249,0.0,2249.0
21,203,"Rockcastle County, Kentucky",81,0.0,81.0
21,205,"Rowan County, Kentucky",491,0.0,491.0
21,207,"Russell County, Kentucky",229,0.0,229.0
21,209,"Scott County, Kentucky",707,0.0,707.0
21,211,"Shelby County, Kentucky",780,0.0,780.0
21,213,"Simpson County, Kentucky",147,0.0,147.0
21,215,"Spencer County, Kentucky",62,0.0,62.0
21,217,"Taylor County, Kentucky",441,0.0,441.0
21,219,"Todd County, Kentucky",107,0.0,107.0
21,221,"Trigg County, Kentucky",46,0.0,46.0
21,223,"Trimble County, Kentucky",27,0.0,27.0
21,225,"Union County, Kentucky",89,0.0,89.0
21,227,"Warren County, Kentucky",3643,2597.0,6240.0
21,229,"Washington County, Kentucky",286,0.0,286.0
21,231,"Wayne County, Kentucky",270,0.0,270.0
21,233,"Webster County, Kentucky",90,0.0,90.0
21,235,"Whitley County, Kentucky",731,0.0,731.0
21,237,"Wolfe County, Kentucky",104,0.0,104.0
21,239,"Woodford County, Kentucky",211,0.0,211.0
24,001,"Allegany County, Maryland",1746,2398.0,4144.0
24,003,"Anne Arundel County, Maryland",13143,0.0,13143.0
24,005,"Baltimore County, Maryland",26372,13106.0,39478.0
24,009,"Calvert County, Maryland",1312,0.0,1312.0
24,011,"Caroline County, Maryland",251,0.0,251.0
24,013,"Carroll County, Maryland",3161,0.0,3161.0
24,015,"Cecil County, Maryland",1330,0.0,1330.0
24,017,"Charles County, Maryland",2010,0.0,2010.0
24,019,"Dorchester County, Maryland",438,0.0,438.0
24,021,"Frederick County, Maryland",6109,0.0,6109.0
24,023,"Garrett County, Maryland",574,0.0,574.0
24,025,"Harford County, Maryland",5474,0.0,5474.0
24,027,"Howard County, Maryland",9430,2283.0,11713.0
24,029,"Kent County, Maryland",300,0.0,300.0
24,031,"Montgomery County, Maryland",30502,16065.0,46567.0
24,033,"Prince George's County, Maryland",15219,5219.0,20438.0
24,035,"Queen Anne's County, Maryland",741,0.0,741.0
24,037,"St. Mary's County, Maryland",1819,0.0,1819.0
24,039,"Somerset County, Maryland",232,0.0,232.0
24,041,"Talbot County, Maryland",1592,0.0,1592.0
24,043,"Washington County, Maryland",4339,0.0,4339.0
24,045,"Wicomico County, Maryland",2988,0.0,2988.0
24,047,"Worcester County, Maryland",938,0.0,938.0
24,510,"Baltimore city, Maryland",16504,43756.0,60260.0
37,001,"Alamance County, North Carolina",6424,0.0,6424.0
37,003,"Alexander County, North Carolina",189,0.0,189.0
37,005,"Alleghany County, North Carolina",75,0.0,75.0
