fips,pct_millennial_genz_2017,NAME,pct_millennial_genz_2022,millennial_genz_balance_change
13137,44.2362915356215,"Habersham County, Georgia",51.17212796269913,6.935836427077632
13139,48.39343582298498,"Hall County, Georgia",52.806253140964024,4.412817317979041
13141,39.03311411099573,"Hancock County, Georgia",40.56823474615743,1.5351206351616966
13143,44.45721050066152,"Haralson County, Georgia",50.90794618596328,6.450735685301765
13145,39.91806735345503,"Harris County, Georgia",46.50569971931031,6.587632365855278
13147,40.77149011161151,"Hart County, Georgia",44.4657219456147,3.6942318340031903
13149,42.276212630309296,"Heard County, Georgia",49.02080250674558,6.744589876436287
13151,47.802819232572894,"Henry County, Georgia",54.20858365891228,6.405764426339388
13153,49.8746183675777,"Houston County, Georgia",55.63957420620655,5.764955838628843
13155,43.17740892433714,"Irwin County, Georgia",50.81690734689575,7.63949842255861
