area_fips,year,avg_weekly_wage
21061,2022,749
21063,2022,644
21065,2022,907
21067,2022,1087
21069,2022,882
21071,2022,899
21073,2022,1056
21075,2022,756
21077,2022,1408
21079,2022,859
21081,2022,972
21083,2022,900
21085,2022,773
21087,2022,759
21089,2022,862
21091,2022,1555
21093,2022,924
21095,2022,836
21097,2022,940
21099,2022,926
21101,2022,1009
21103,2022,871
21105,2022,716
21107,2022,1007
21109,2022,731
21111,2022,1266
21113,2022,949
21115,2022,774
21117,2022,1358
21119,2022,687
21121,2022,748
21123,2022,809
21125,2022,836
21127,2022,794
21129,2022,823
21131,2022,834
21133,2022,855
21135,2022,756
21137,2022,809
21139,2022,1072
21141,2022,1089
21143,2022,678
21145,2022,1009
21147,2022,624
21149,2022,845
21151,2022,906
21153,2022,666
21155,2022,928
21157,2022,1146
21159,2022,731
21161,2022,951
21163,2022,1127
21165,2022,731
21167,2022,1087
21169,2022,823
21171,2022,836
21173,2022,920
21175,2022,822
21177,2022,938
21179,2022,1000
21181,2022,625
21183,2022,791
21185,2022,1100
21187,2022,883
21189,2022,708
21191,2022,1016
21193,2022,973
21195,2022,984
21197,2022,697
21199,2022,875
21201,2022,767
21203,2022,779
21205,2022,837
21207,2022,777
21209,2022,1182
21211,2022,966
21213,2022,927
21215,2022,776
21217,2022,734
21219,2022,887
21221,2022,687
21223,2022,1285
21225,2022,1111
21227,2022,996
21229,2022,959
21231,2022,714
21233,2022,1005
21235,2022,848
21237,2022,661
21239,2022,958
24001,2022,825
24003,2022,1366
24005,2022,1258
24009,2022,1087
24011,2022,983
24013,2022,991
24015,2022,996
24017,2022,964
24019,2022,888
24021,2022,1179
24023,2022,795
24025,2022,1072
24027,2022,1596
24029,2022,922
24031,2022,1653
24033,2022,1169
24035,2022,973
24037,2022,1321
24039,2022,931
24041,2022,965
24043,2022,983
24045,2022,1000
24047,2022,775
24510,2022,1483
37001,2022,975
37003,2022,785
37005,2022,759
37007,2022,802
37009,2022,792
37011,2022,753
37013,2022,862
37015,2022,749
37017,2022,842
37019,2022,912
37021,2022,1007
37023,2022,844
37025,2022,919
37027,2022,949
37029,2022,918
37031,2022,768
37033,2022,811
37035,2022,1022
37037,2022,906
37039,2022,756
37041,2022,846
37043,2022,786
37045,2022,897
37047,2022,739
37049,2022,883
37051,2022,849
37053,2022,780
37055,2022,788
37057,2022,964
37059,2022,927
37061,2022,840
37063,2022,1687
37065,2022,808
37067,2022,1216
37069,2022,973
37071,2022,949
37073,2022,868
37075,2022,821
37077,2022,956
37079,2022,735
37081,2022,1111
37083,2022,774
37085,2022,783
37087,2022,858
37089,2022,956
37091,2022,854
37093,2022,801
37095,2022,691
37097,2022,1216
37099,2022,819
37101,2022,928
37103,2022,844
37105,2022,970
37107,2022,910
37109,2022,971
37111,2022,836
37113,2022,833
37115,2022,792
37117,2022,671
37119,2022,1593
37121,2022,874
37123,2022,905
37125,2022,978
37127,2022,935
37129,2022,1100
37131,2022,895
37133,2022,739
37135,2022,1226
37137,2022,604
37139,2022,830
37141,2022,799
37143,2022,774
37145,2022,911
37147,2022,940
37149,2022,775
37151,2022,849
37153,2022,806
37155,2022,803
37157,2022,836
37159,2022,972
37161,2022,842
37163,2022,867
37165,2022,841
37167,2022,811
37169,2022,692
37171,2022,866
37173,2022,672
37175,2022,845
37177,2022,697
37179,2022,1063
37181,2022,839
37183,2022,1413
37185,2022,631
37187,2022,900
37189,2022,793
37191,2022,857
37193,2022,869
37195,2022,986
37197,2022,826
37199,2022,798
42001,2022,947
42003,2022,1409
42005,2022,906
42007,2022,1117
42009,2022,851
42011,2022,1128
42013,2022,941
42015,2022,1108
42017,2022,1198
42019,2022,1158
42021,2022,860
42023,2022,959
42025,2022,824
42027,2022,999
42029,2022,1645
42031,2022,793
42033,2022,884
42035,2022,912
42037,2022,878
42039,2022,886
42041,2022,1143
42043,2022,1242
42045,2022,1361
42047,2022,946
42049,2022,929
42051,2022,877
42053,2022,710
42055,2022,957
42057,2022,1035
42059,2022,1217
42061,2022,812
42063,2022,981
42065,2022,879
42067,2022,807
42069,2022,963
42071,2022,1077
42073,2022,942
42075,2022,966
42077,2022,1271
42079,2022,990
42081,2022,995
42083,2022,880
42085,2022,963
42087,2022,934
42089,2022,920
42091,2022,1625
42093,2022,1601
42095,2022,1079
42097,2022,917
42099,2022,698
42101,2022,1500
42103,2022,702
42105,2022,937
42107,2022,969
42109,2022,818
42111,2022,876
42113,2022,783
42115,2022,996
42117,2022,939
42119,2022,998
42121,2022,881
42123,2022,908
42125,2022,1311
42127,2022,856
42129,2022,1010
42131,2022,1108
42133,2022,1097
45001,2022,875
45003,2022,1119
45005,2022,1188
45007,2022,894
45009,2022,781
45011,2022,776
45013,2022,919
45015,2022,1174
45017,2022,1110
45019,2022,1192
45021,2022,793
45023,2022,1010
45025,2022,878
45027,2022,666
45029,2022,831
45031,2022,1092
45033,2022,718
45035,2022,937
45037,2022,884
45039,2022,1179
45041,2022,908
45043,2022,876
45045,2022,1129
45047,2022,926
45049,2022,895
45051,2022,808
45053,2022,959
45055,2022,846
45057,2022,1169
45059,2022,934
45061,2022,861
45063,2022,945
45065,2022,718
45067,2022,756
45069,2022,934
45071,2022,866
45073,2022,1037
45075,2022,844
45077,2022,815
45079,2022,1090
45081,2022,817
45083,2022,1032
45085,2022,906
45087,2022,840
45089,2022,918
45091,2022,1134
47001,2022,1397
47003,2022,959
47005,2022,824
47007,2022,761
47009,2022,1156
47011,2022,960
47013,2022,804
47015,2022,912
47017,2022,748
47019,2022,820
47021,2022,1056
47023,2022,792
47025,2022,850
47027,2022,709
47029,2022,794
47031,2022,1036
47033,2022,1030
47035,2022,805
47037,2022,1481
47039,2022,876
47041,2022,882
47043,2022,911
47045,2022,954
47047,2022,1026
47049,2022,732
47051,2022,931
47053,2022,852
47055,2022,917
47057,2022,1025
47059,2022,874
47061,2022,740
47063,2022,898
47065,2022,1170
47067,2022,619
47069,2022,927
47071,2022,965
47073,2022,964
47075,2022,989
47077,2022,900
47079,2022,863
47081,2022,996
47083,2022,825
47085,2022,1112
47087,2022,823
47089,2022,1007
47091,2022,950
47093,2022,1140
47095,2022,728
47097,2022,884
47099,2022,796
47101,2022,832
47103,2022,872
47105,2022,1002
47107,2022,936
47109,2022,784
47111,2022,815
47113,2022,998
47115,2022,871
47117,2022,980
47119,2022,1102
47121,2022,955
47123,2022,895
47125,2022,866
47127,2022,1249
47129,2022,807
47131,2022,855
47133,2022,833
47135,2022,721
47137,2022,681
47139,2022,703
47141,2022,872
47143,2022,907
47145,2022,1539
47147,2022,956
47149,2022,1109
47151,2022,733
47153,2022,789
47155,2022,751
47157,2022,1302
47159,2022,990
47161,2022,1020
47163,2022,1139
47165,2022,1060
47167,2022,905
47169,2022,913
47171,2022,1041
47173,2022,939
47175,2022,877
47177,2022,898
47179,2022,945
47181,2022,843
47183,2022,758
47185,2022,850
47187,2022,1635
47189,2022,1041
51001,2022,919
51003,2022,1160
51005,2022,832
51007,2022,831
51009,2022,832
51011,2022,708
51013,2022,2143
51015,2022,1076
51017,2022,1005
51019,2022,862
51021,2022,1099
51023,2022,1004
51025,2022,896
51027,2022,1152
51029,2022,860
51031,2022,1064
51033,2022,870
51035,2022,692
51036,2022,1086
51037,2022,849
51041,2022,1103
51043,2022,976
51045,2022,857
51047,2022,975
51049,2022,884
51051,2022,1132
51053,2022,1311
51057,2022,826
51059,2022,2042
51061,2022,1143
51063,2022,726
51065,2022,1030
51067,2022,824
51069,2022,1090
51071,2022,984
51073,2022,806
51075,2022,2241
51077,2022,618
51079,2022,753
51081,2022,1035
51083,2022,883
51085,2022,1044
51087,2022,1286
51089,2022,794
51091,2022,684
51093,2022,1065
51095,2022,941
51097,2022,932
51099,2022,1219
51101,2022,1042
51103,2022,854
51105,2022,689
51107,2022,1521
51109,2022,1090
51111,2022,852
51113,2022,837
51115,2022,705
51117,2022,841
51119,2022,805
51121,2022,972
51125,2022,804
51127,2022,877
51131,2022,736
51133,2022,1090
51135,2022,866
51137,2022,883
51139,2022,736
51141,2022,703
51143,2022,855
51145,2022,952
51147,2022,802
51149,2022,936
51153,2022,1061
51155,2022,961
51157,2022,837
51159,2022,848
51161,2022,999
51163,2022,763
51165,2022,1044
51167,2022,888
51169,2022,768
51171,2022,883
51173,2022,826
51175,2022,968
51177,2022,950
51179,2022,1072
51181,2022,1943
51183,2022,936
51185,2022,817
51187,2022,903
51191,2022,857
51193,2022,751
51195,2022,786
51197,2022,838
51199,2022,870
51510,2022,1594
51520,2022,764
51530,2022,807
51540,2022,1298
51550,2022,1027
51570,2022,705
51580,2022,1160
51590,2022,864
51595,2022,698
51600,2022,1254
51610,2022,1285
51620,2022,640
51630,2022,1055
51640,2022,739
51650,2022,961
51660,2022,850
51670,2022,1263
51678,2022,906
51680,2022,1049
51683,2022,1481
51685,2022,1010
51690,2022,767
51700,2022,1231
51710,2022,1233
51720,2022,803
51730,2022,898
51735,2022,723
51740,2022,1094
51750,2022,940
51760,2022,1505
51770,2022,1098
51775,2022,1052
51790,2022,796
51800,2022,1076
51810,2022,1002
51820,2022,860
51830,2022,851
51840,2022,1075
54001,2022,987
54003,2022,889
54005,2022,983
54007,2022,827
54009,2022,962
54011,2022,987
54013,2022,964
54015,2022,649
54017,2022,1333
54019,2022,859
54021,2022,660
54023,2022,940
54025,2022,791
54027,2022,714
54029,2022,994
54031,2022,837
54033,2022,1069
54035,2022,957
54037,2022,922
54039,2022,1105
54041,2022,948
54043,2022,694
54045,2022,1020
54047,2022,1104
54049,2022,954
54051,2022,1283
54053,2022,1019
54055,2022,832
54057,2022,965
54059,2022,1085
54061,2022,1138
54063,2022,753
54065,2022,792
54067,2022,880
54069,2022,970
54071,2022,655
54073,2022,1251
54075,2022,690
54077,2022,789
54079,2022,1171
54081,2022,923
54083,2022,817
54085,2022,937
54087,2022,827
54089,2022,842
54091,2022,1093
54093,2022,800
54095,2022,1258
54097,2022,880
54099,2022,869
54101,2022,761
54103,2022,838
54105,2022,740
54107,2022,906
54109,2022,1079
