fips,NAME,total_population,hispanic_population,pct_hispanic
51550,"Chesapeake city, Virginia",249377,17578,7.048765523685023
51570,"Colonial Heights city, Virginia",18158,1316,7.247494217424827
51580,"Covington city, Virginia",5722,136,2.376791331702202
51590,"Danville city, Virginia",42507,2089,4.914484673112664
51595,"Emporia city, Virginia",5680,266,4.683098591549296
51600,"Fairfax city, Virginia",24242,4397,18.137942413992246
51610,"Falls Church city, Virginia",14576,1640,11.251372118551043
51620,"Franklin city, Virginia",8194,269,3.282889919453259
51630,"Fredericksburg city, Virginia",28258,3308,11.706419421048906
51640,"Galax city, Virginia",6687,1379,20.622102587109318
51650,"Hampton city, Virginia",137217,9028,6.579359700328677
51660,"Harrisonburg city, Virginia",51784,10762,20.782481075235594
51670,"Hopewell city, Virginia",23046,2043,8.864878937776622
51678,"Lexington city, Virginia",7346,373,5.077593248026137
51680,"Lynchburg city, Virginia",79166,3688,4.658565545815123
51683,"Manassas city, Virginia",42620,16527,38.77756921633036
51685,"Manassas Park city, Virginia",17123,7175,41.90270396542662
51690,"Martinsville city, Virginia",13539,947,6.994608168993278
51700,"Newport News city, Virginia",185118,18290,9.880184530947828
51710,"Norfolk city, Virginia",236973,20688,8.730108493372663
51720,"Norton city, Virginia",3668,0,0.0
51730,"Petersburg city, Virginia",33261,1765,5.306515137849132
51735,"Poquoson city, Virginia",12479,424,3.3977081496914816
51740,"Portsmouth city, Virginia",97384,4879,5.0100632547441055
51750,"Radford city, Virginia",16379,531,3.241956163379938
51760,"Richmond city, Virginia",227171,17306,7.618049839107985
51770,"Roanoke city, Virginia",99213,6838,6.892241944100068
51775,"Salem city, Virginia",25372,957,3.7718745073309163
51790,"Staunton city, Virginia",25581,972,3.799695086196787
51800,"Suffolk city, Virginia",94856,4573,4.820991819178545
51810,"Virginia Beach city, Virginia",457900,40139,8.765887748416686
51820,"Waynesboro city, Virginia",22341,2075,9.287856407501902
51830,"Williamsburg city, Virginia",15486,1189,7.677902621722846
51840,"Winchester city, Virginia",28103,5254,18.695512934562146
42001,"Adams County, Pennsylvania",104604,7688,7.3496233413636185
42003,"Allegheny County, Pennsylvania",1245310,29272,2.3505793738105374
42005,"Armstrong County, Pennsylvania",65538,560,0.8544661112636943
42007,"Beaver County, Pennsylvania",167629,3227,1.9250845617405101
42009,"Bedford County, Pennsylvania",47613,598,1.255959506857371
42011,"Berks County, Pennsylvania",428483,99460,23.212122767997798
42013,"Blair County, Pennsylvania",122640,1721,1.4032941943900847
42015,"Bradford County, Pennsylvania",60159,946,1.57249954287804
42017,"Bucks County, Pennsylvania",645163,38195,5.920209311445325
42019,"Butler County, Pennsylvania",194562,3391,1.7428891561558784
42021,"Cambria County, Pennsylvania",133263,2464,1.848975334488943
42023,"Cameron County, Pennsylvania",4536,91,2.006172839506173
42025,"Carbon County, Pennsylvania",65018,3889,5.981420529699468
42027,"Centre County, Pennsylvania",158665,4948,3.1185201525226103
42029,"Chester County, Pennsylvania",536474,40883,7.6206861842326
42031,"Clarion County, Pennsylvania",37489,421,1.122996078849796
42033,"Clearfield County, Pennsylvania",79707,2314,2.903132723600186
42035,"Clinton County, Pennsylvania",37860,654,1.7274167987321711
42037,"Columbia County, Pennsylvania",64924,2219,3.417842400345019
42039,"Crawford County, Pennsylvania",83876,1250,1.490295197672755
42041,"Cumberland County, Pennsylvania",261269,12076,4.622056194956156
42043,"Dauphin County, Pennsylvania",286108,29871,10.440463041928224
42045,"Delaware County, Pennsylvania",575312,24939,4.334865255722113
42047,"Elk County, Pennsylvania",30886,259,0.8385676358220554
42049,"Erie County, Pennsylvania",270495,12637,4.671805393815043
42051,"Fayette County, Pennsylvania",128417,1780,1.3861093157448001
42053,"Forest County, Pennsylvania",6959,508,7.29989941083489
42055,"Franklin County, Pennsylvania",156084,10108,6.476000102508905
42057,"Fulton County, Pennsylvania",14545,197,1.3544173255414231
42059,"Greene County, Pennsylvania",35781,574,1.604203348145664
42061,"Huntingdon County, Pennsylvania",44123,931,2.1100106520408857
42063,"Indiana County, Pennsylvania",83394,1295,1.552869510995995
42065,"Jefferson County, Pennsylvania",44326,436,0.9836213509001488
42067,"Juniata County, Pennsylvania",23535,985,4.185256001699597
42069,"Lackawanna County, Pennsylvania",215672,19428,9.008123446715382
42071,"Lancaster County, Pennsylvania",553202,62108,11.227002071576024
42073,"Lawrence County, Pennsylvania",85907,1471,1.7123168077106639
42075,"Lebanon County, Pennsylvania",143258,20729,14.469698027335298
42077,"Lehigh County, Pennsylvania",374110,101726,27.191467750126968
42079,"Luzerne County, Pennsylvania",325396,49024,15.065950411191286
42081,"Lycoming County, Pennsylvania",114022,2573,2.2565820631106277
42083,"McKean County, Pennsylvania",40459,872,2.155268296299958
42085,"Mercer County, Pennsylvania",110600,1768,1.5985533453887886
42087,"Mifflin County, Pennsylvania",46146,825,1.7878039266675336
42089,"Monroe County, Pennsylvania",168128,29982,17.832841644461364
42091,"Montgomery County, Pennsylvania",856399,48524,5.666050520843672
42093,"Montour County, Pennsylvania",18165,517,2.846132672722268
42095,"Northampton County, Pennsylvania",314299,46200,14.699378617176636
42097,"Northumberland County, Pennsylvania",91340,3879,4.246770308736589
42099,"Perry County, Pennsylvania",45941,1085,2.3617248209660215
42101,"Philadelphia County, Pennsylvania",1593208,249723,15.674224583356347
