NAME,EMP,ESTAB,NAICS2017,state,county
"Washington County, Virginia",344,13,51,51,191
"Wise County, Virginia",28,9,51,51,195
"Wythe County, Virginia",62,12,51,51,197
"York County, Virginia",57,9,51,51,199
"Alexandria city, Virginia",2895,96,51,51,510
"Bristol city, Virginia",224,11,51,51,520
"Charlottesville city, Virginia",1308,63,51,51,540
"Chesapeake city, Virginia",2545,69,51,51,550
"Colonial Heights city, Virginia",77,6,51,51,570
"Danville city, Virginia",164,21,51,51,590
"Emporia city, Virginia",24,7,51,51,595
"Fairfax city, Virginia",296,38,51,51,600
"Fredericksburg city, Virginia",307,22,51,51,630
"Galax city, Virginia",91,11,51,51,640
"Hampton city, Virginia",461,23,51,51,650
"Lynchburg city, Virginia",582,48,51,51,680
"Manassas city, Virginia",167,20,51,51,683
"Newport News city, Virginia",1173,50,51,51,700
"Norfolk city, Virginia",1689,151,51,51,710
"Petersburg city, Virginia",22,6,51,51,730
"Portsmouth city, Virginia",124,12,51,51,740
"Richmond city, Virginia",1839,130,51,51,760
"Roanoke city, Virginia",678,48,51,51,770
"Salem city, Virginia",200,16,51,51,775
"Staunton city, Virginia",75,17,51,51,790
"Suffolk city, Virginia",116,21,51,51,800
"Virginia Beach city, Virginia",3012,152,51,51,810
"Adams County, Pennsylvania",157,27,51,42,001
"Allegheny County, Pennsylvania",14969,706,51,42,003
"Bedford County, Pennsylvania",128,17,51,42,009
"Carbon County, Pennsylvania",947,23,51,42,025
"Forest County, Pennsylvania",4,3,51,42,053
"Greene County, Pennsylvania",102,14,51,42,059
"Jefferson County, Pennsylvania",132,24,51,42,065
"Northumberland County, Pennsylvania",252,18,51,42,097
"Pike County, Pennsylvania",69,16,51,42,103
"Venango County, Pennsylvania",127,24,51,42,121
"Armstrong County, Pennsylvania",125,21,51,42,005
"Beaver County, Pennsylvania",285,46,51,42,007
"Berks County, Pennsylvania",1191,115,51,42,011
"Blair County, Pennsylvania",847,50,51,42,013
"Bradford County, Pennsylvania",180,30,51,42,015
"Butler County, Pennsylvania",1718,70,51,42,019
"Clarion County, Pennsylvania",84,18,51,42,031
"Clinton County, Pennsylvania",60,12,51,42,035
"Columbia County, Pennsylvania",412,28,51,42,037
"Elk County, Pennsylvania",102,15,51,42,047
"Erie County, Pennsylvania",1057,104,51,42,049
"Fayette County, Pennsylvania",306,35,51,42,051
"Franklin County, Pennsylvania",442,52,51,42,055
"Fulton County, Pennsylvania",15,3,51,42,057
"Huntingdon County, Pennsylvania",78,9,51,42,061
"Indiana County, Pennsylvania",237,22,51,42,063
"Lycoming County, Pennsylvania",426,35,51,42,081
"McKean County, Pennsylvania",78,16,51,42,083
"Mifflin County, Pennsylvania",108,20,51,42,087
"Monroe County, Pennsylvania",295,53,51,42,089
"Perry County, Pennsylvania",36,8,51,42,099
"Potter County, Pennsylvania",523,16,51,42,105
"Schuylkill County, Pennsylvania",272,43,51,42,107
