region_key,region_name,state_name,employment_2020,employment_2022,employment_growth_pct,private_employment_2022,wage_growth_pct,avg_annual_pay_2022,hh_children_growth_pct,dir_income_growth_pct
24_3,Tri-County Council for the Lower Eastern Shore,Maryland,8420728,9579445,13.760294834365865,61679,8.85361474445396,47891.97433486276,5.663143747327265,14.852594133364908
24_4,Upper Shore Regional Council,Maryland,10156011,11398213,12.231199828357807,46711,6.531457143418332,50927.18935582625,-1.0906969962088073,14.425370063452439
24_5,Tri-County Council for Southern Maryland,Maryland,23263996,25114596,7.954781285209987,77379,6.815914858556706,58858.72576538854,4.567510803176979,10.261106286677379
37_1,Southwestern Commission,North Carolina,8577134,9799685,14.253607323845005,48914,12.223943558685823,42224.69380954328,-6.425820007003619,14.267591388195907
37_10,Upper Coastal Plain Council of Governments,North Carolina,12610933,13944751,10.576679774605099,90663,10.349132941702617,47522.201868457916,-5.740623648041533,9.196875309220914
37_11,Mid-Carolina Council of Governments,North Carolina,21970218,24840156,13.062856272067942,120002,11.027801889179054,43643.757537374375,-3.8223740392826646,9.270853338454645
37_12,Lumber River Council of Governments,North Carolina,10541540,12067890,14.47938346769068,68739,12.492656122192432,42378.317956327555,-13.16628701594533,8.187836644842841
37_13,Cape Fear Council of Governments,North Carolina,24304117,29098583,19.726970537543085,166318,12.795844772927415,52801.19807236739,0.5108151044849077,24.302692332969606
37_14,Eastern Carolina Council of Governments,North Carolina,29953006,34120489,13.913404884972147,161773,10.280075740274066,42770.67874119909,-4.237251973543844,11.076233502842989
37_15,Albemarle Commission,North Carolina,8614369,10022045,16.341022772532728,45160,11.502973553865454,42004.72028343667,-0.9801660516605167,15.968525496607318
37_16,Mid-East Commission,North Carolina,12984850,14457830,11.343835315771841,83185,9.870978467541853,46625.21722666346,-7.162437618612498,8.46699658957564
37_2,Land of Sky Regional Council,North Carolina,22349945,26395222,18.099717918768928,166672,12.961072989382844,51200.40081117404,1.279783293714412,29.786422032626902
37_3,Isothermal Planning & Development Commission,North Carolina,9421856,10653953,13.077009455461855,61602,12.02027977796616,44833.841385019965,-8.160217243720298,13.756768114583007
37_4,High Country Council of Governments,North Carolina,8633908,9963839,15.403580858169905,57461,11.502181019846502,42376.38767163816,-5.403259949195597,17.729820668694714
37_5,Western Piedmont Council of Governments,North Carolina,16267982,18461893,13.486067294640478,132269,14.82334022216416,50213.731199298396,4.821653138218817,14.818842702444075
37_6,Centralina Regional Council,North Carolina,136906208,160852288,17.49086498692594,1032825,11.538199185554591,72590.6159068574,3.937482552000097,23.267051136254988
37_7,Piedmont Triad Council of Governments,North Carolina,82293198,94282877,14.569465388864824,640390,11.064611804407496,55678.812520495325,-1.4568186674410069,20.68282868357404
37_8,Triangle J Council of Governments,North Carolina,126142666,150752066,19.50918018491856,900008,10.051270906857166,73183.38320659372,4.808845796135131,28.427589829141258
37_9,Kerr-Tar Council of Governments,North Carolina,9495593,10845266,14.213677860877146,46023,9.958035874674735,47232.7717445625,-3.290190438837321,9.7469372294546
42_1,North Central Pennsylvania,Pennsylvania,10496085,10880431,3.6618034248007714,67029,9.16247251818505,46698.081069387874,-8.15411322210435,4.780844657812762
42_2,Northwest Pennsylvania,Pennsylvania,32653391,33792081,3.4872029064301464,225518,8.565912291256737,47871.660545943116,-6.691731473010064,4.503741821026311
42_3,Southwestern Pennsylvania,Pennsylvania,150707872,162273374,7.67411937181357,984302,8.230246106786762,66958.7880233912,-3.666512518993195,16.49439769229857
42_4,Northern Tier,Pennsylvania,8124492,8873426,9.218225582596427,45901,11.35050253371525,54321.89560140302,-8.001209555488357,24.182600058770852
42_5,Southern Alleghenies,Pennsylvania,20564999,21435575,4.233289775506432,136438,9.396248938609197,46445.201534763044,-6.253066947073256,6.9803758317940385
42_6,SEDA-COG,Pennsylvania,33209606,35375537,6.522001495591366,207805,9.55493245839105,51254.117687254875,-4.318192355841306,6.653901312813723
42_7,Northeastern Pennsylvania,Pennsylvania,51112193,54238117,6.115808805151444,334475,8.418021769190407,49493.023556319604,-0.26666115429138415,10.756330578499119
45_1,Appalachian Council of Governments,South Carolina,63331632,72527822,14.520690071590133,503779,10.656781660641307,54370.74645628341,8.661870951669158,20.9268534458203
45_10,Waccamaw Regional Council of Governments,South Carolina,20139231,23585791,17.11366238363322,145766,14.35743278945824,42731.848387141035,-2.753931151721207,18.67933265790691
45_2,Berkeley-Charleston-Dorchester Council of Governments,South Carolina,45544876,53613213,17.715136605048613,301593,13.004097438306392,60451.38067859665,9.109010131657366,29.260494248299125
45_3,Catawba Regional Council of Governments,South Carolina,21993199,25727531,16.979485339990784,125221,13.254008934134637,58209.835706470956,10.858987869683178,29.626293016531953
45_4,Central Midlands Council of Governments,South Carolina,38317724,43021346,12.275316769858252,295368,10.814679236933605,53529.367372227185,4.688614820099888,17.25662873720011
45_5,Lowcountry Council of Governments,South Carolina,15538505,18653108,20.0444186876408,79342,13.48123023982882,47504.23042020619,-1.9496204278812976,32.05132471070886
45_6,Lower Savannah Council of Governments,South Carolina,13613730,15001282,10.192298510400896,88439,7.218477471935106,53352.75718857066,-6.38474582136554,14.732211674213502
45_7,Pee Dee Regional Council of Governments,South Carolina,13685462,15137594,10.610763451025623,101195,12.798814481413991,47551.362092988784,-10.892041356095215,9.794068486692668
45_8,Santee Lynches Regional Council of Governments,South Carolina,9421329,10692093,13.488160746748152,53245,13.291794403838999,45014.6069677904,-6.201907570381975,16.50697039328116
45_9,Upper Savannah Council of Governments,South Carolina,8708027,9588485,10.11087815873791,51170,10.95588083694756,47238.37002149697,-4.597758655193116,3.829712487756012
47_1,First Tennessee Development District,Tennessee,22310312,25059669,12.32325661783663,162365,12.300067687005601,52244.55076525113,-2.483033283212094,8.646911069049745
47_2,East Tennessee Development District,Tennessee,61075180,71464507,17.010718593052037,468083,12.528041388291623,56601.059647541144,2.689141907822424,16.89417588689728
47_3,Southeast Tennessee Development District,Tennessee,32752701,37057481,13.14328244256863,260183,13.146303308928356,57003.61130819462,3.7748820848988727,18.254873151692188
47_4,Upper Cumberland Development District,Tennessee,14620698,16619270,13.669470499972025,89761,13.797974570051489,44387.973585410145,1.9487997165382231,8.693398707096565
47_5,South Central Tennessee Development District,Tennessee,19832823,22973913,15.837836096253167,124221,12.737878199917136,51215.36355366645,0.6212664277180406,14.314837958098778
47_6,Southwest Tennessee Development District,Tennessee,10489446,11538742,10.003350033929342,79939,12.374255616009531,49940.37312200553,-5.006413339746673,10.719762649371592
47_7,Northwest Tennessee Development District,Tennessee,8842228,9866610,11.585111806662303,51168,11.629303379113725,43504.11905878674,-3.3049089651993544,-0.11091677758344426
47_8,Greater Nashville Regional Council,Tennessee,132283885,159381145,20.484173109974808,946569,13.821848883790299,70071.38404279033,8.091425068043957,34.0821263908144
47_9,MidSouth Development District,Tennessee,55962021,61549319,9.984089030665993,452583,8.750072810099574,66827.14487950277,-3.5712358095101018,19.515087144049918
51_1,Southwest Virginia,Virginia,8547962,9550887,11.732913646551072,93737,13.4915789886933,43154.44314411598,-11.297560975609757,2.9809495263521097
51_2,Central/Western Virginia,Virginia,11430168,12838916,12.324823222195858,207596,11.00423640722299,53311.558189945856,-4.883524013941674,13.98432607766499
51_3,Southside Virginia,Virginia,7636858,8776782,14.926609870184832,94414,14.314018194396622,43396.52181879806,-10.7436294355799,11.28332214588717
51_4,Greater Richmond,Virginia,59027299,65979043,11.777167713535393,417811,10.063649092877174,62590.07219532276,5.283830458120312,10.479601910224783
51_5,Hampton Roads,Virginia,79087282,88218437,11.545667987426853,585947,9.943854289715556,55631.05492134954,3.022230437595481,15.457218206791918
51_6,Mary Ball Washington Regional Council,Virginia,33677857,38439777,14.139617018980752,237059,8.169643853583224,64664.679189568844,2.7051680396795987,9.205785967952231
51_7,Northern Virginia,Virginia,74048210,85994741,16.133450086099312,507869,6.2888993726876565,82311.47780825371,4.924572137091472,26.71989368488587
51_8,Shenandoah Valley,Virginia,6636953,7592562,14.398308983052916,190429,9.507925765144348,50760.036643578445,-0.48489080259125644,6.34257539088782
51_9,Central Virginia,Virginia,16183102,18524068,14.465496170017342,127290,11.214692338166726,58040.42063005735,2.4112210911479104,16.804095754628765
54_1,Region I Planning and Development Council,West Virginia,7900578,8583002,8.637646511432456,46750,14.226427296373819,47337.829839572194,-17.650984317650984,4.141031969997274
54_10,Region X - Bel-O-Mar Regional Council,West Virginia,4232910,4795704,13.295676024295345,34995,7.20754805612793,53852.26980997285,-1.0080645161290323,41.71710518436905
54_11,Region XI - Brooke-Hancock Regional Planning and Development Council,West Virginia,2337678,2560302,9.5232961939155,13871,14.565744070239143,50951.395717684376,-16.043645180844614,34.08697923793648
54_2,Region II Planning and Development Council,West Virginia,9566824,10324483,7.919650241292199,64470,12.26935106296872,51094.76685279975,-14.40453686200378,7.707780074663651
54_3,Region III - BCKP Regional Intergovernmental Council,West Virginia,4654084,4959032,6.552266783324065,26719,11.959534458993623,42576.299150417304,-17.042422011594734,-1.5975769176573336
54_4,Region IV Planning and Development Council,West Virginia,13238958,14464555,9.257503498387107,94517,10.542332740739296,57733.47519493847,-10.865247238387287,12.320082843672436
54_5,Region V - Mid-Ohio Valley Regional Council,West Virginia,7294427,8296449,13.736815791014154,43944,9.171654537851392,48705.990032768976,-13.78715008015785,25.343585278854714
54_6,Region VI Planning and Development Council,West Virginia,13593199,15173821,11.628035460968386,94487,8.794228981699595,55890.034724353616,0.7357521021488632,23.501216711096323
54_7,Region VII Planning and Development Council,West Virginia,4422606,4754083,7.495060604539495,27621,9.315524155994957,44947.211216103686,-9.001196172248804,15.227632374247124
54_8,Region VIII Planning and Development Council,West Virginia,3438873,3847165,11.872843225091476,17702,10.073799222675724,45229.56321319625,-15.527687755389602,-4.609782323532781
54_9,Region IX - Eastern Panhandle Regional Planning and Development Council,West Virginia,9705965,11180308,15.190071260302298,41075,8.81940574891561,46425.01353621424,2.33923852402858,16.79651531601648
