region_key,region_name,state_name,entrepreneurial_activity,proprietors_per_1000,establishments_per_1000,telecommuter_pct
42_1,North Central Pennsylvania,Pennsylvania,0.003347141060729344,4623.571454989275,24.423958872697686,69.66385040229824
42_2,Northwest Pennsylvania,Pennsylvania,0.0031200085343558973,3396.1709384722626,22.72272257644021,69.46057897700955
42_3,Southwestern Pennsylvania,Pennsylvania,0.004019035077410495,5629.721138691725,24.79679443114515,70.93689962324409
42_4,Northern Tier,Pennsylvania,0.003529398083542655,3357.1553167736533,22.007861196390362,70.39837006058656
42_5,Southern Alleghenies,Pennsylvania,0.003238636102994133,3264.242429802792,22.571825700825254,70.97282600186831
42_6,SEDA-COG,Pennsylvania,0.003402590066193182,4048.2860458683776,20.970199164938542,66.70066735740625
42_7,Northeastern Pennsylvania,Pennsylvania,0.003571296507135781,3669.7698995171454,21.254566296692023,73.05400213447172
45_1,Appalachian Council of Governments,South Carolina,0.003861425100617512,3000.2776433870085,22.76600531359783,74.7329924530205
45_10,Waccamaw Regional Council of Governments,South Carolina,0.004924055151191329,4418.682144591188,27.236387902920068,74.51170843978969
45_2,Berkeley-Charleston-Dorchester Council of Governments,South Carolina,0.005075939945083259,4527.362527663749,26.545995882489127,68.49277202943483
45_3,Catawba Regional Council of Governments,South Carolina,0.0033505558876813653,2526.1759337344606,18.96905622978358,77.19027980335532
45_4,Central Midlands Council of Governments,South Carolina,0.0038082637767444276,3423.0778709522606,22.828829179394386,65.48840489212351
45_5,Lowcountry Council of Governments,South Carolina,0.0049208960524122535,4033.888232608365,27.633838951175147,67.52689253884012
45_6,Lower Savannah Council of Governments,South Carolina,0.0026143917267880054,2220.456728754441,17.67535121822273,70.72850803126104
45_7,Pee Dee Regional Council of Governments,South Carolina,0.0029240480056649614,1893.1196356843739,18.978841857228318,71.73914668700144
45_8,Santee Lynches Regional Council of Governments,South Carolina,0.0027800894384036436,2089.8453575249887,16.593658835471746,63.935061627224506
45_9,Upper Savannah Council of Governments,South Carolina,0.002144729893736277,1970.751998814145,15.221560325739539,73.31853645412967
47_1,First Tennessee Development District,Tennessee,0.002876279471736841,4523.083541353993,18.08718734205541,71.23008513191095
47_2,East Tennessee Development District,Tennessee,0.0032676166988993374,7737.861271218522,20.522786993523372,71.83528064706437
47_3,Southeast Tennessee Development District,Tennessee,0.0036301862214998867,5206.624977301956,21.3128998419766,71.49145716097199
47_4,Upper Cumberland Development District,Tennessee,0.0027364729597260766,5728.788192574798,17.178202101368235,71.51763589392102
47_5,South Central Tennessee Development District,Tennessee,0.0026478640491984697,5290.7598749060835,17.349181987674697,72.56175972927242
47_6,Southwest Tennessee Development District,Tennessee,0.0032656080952077897,4178.232196270604,20.190288296315153,70.17052907739397
47_7,Northwest Tennessee Development District,Tennessee,0.002883574497856228,5037.963912774236,17.925433599788224,70.43349388662467
47_8,Greater Nashville Regional Council,Tennessee,0.0044572851472419175,14973.17217136125,23.15293420414328,71.41101625593052
47_9,MidSouth Development District,Tennessee,0.003730964827883654,4952.175211264936,20.487129782786944,71.77421716485034
51_1,Southwest Virginia,Virginia,0.0027577572040335574,1538.5473962425888,18.832081728914087,68.87102456983024
51_2,Central/Western Virginia,Virginia,0.003791740607736318,2258.6523480970395,24.018004840442316,68.43718079673135
51_3,Southside Virginia,Virginia,0.0029044215997248444,1392.9524450854562,19.555710846267655,69.81209626042101
51_4,Greater Richmond,Virginia,0.004423403657449537,5412.98303944313,24.003059350278857,69.44040426642799
51_5,Hampton Roads,Virginia,0.003905086919676599,1763.9309185587038,22.070612216852567,59.75610732650388
51_6,Mary Ball Washington Regional Council,Virginia,0.004174426217217433,4313.023093144775,22.79065346237728,63.674754714129975
51_7,Northern Virginia,Virginia,0.00492579384125112,6049.898552219815,26.06595800089964,62.713262947267175
51_8,Shenandoah Valley,Virginia,0.0036915519481467425,2616.094196442287,22.831783477613463,68.91751962214617
51_9,Central Virginia,Virginia,0.0042099664419698495,3794.6698396318798,24.407888954247042,63.01507398188161
54_1,Region I Planning and Development Council,West Virginia,0.002701558436321848,1986.0537085945848,18.220398782282615,67.85312281342216
54_10,Region X - Bel-O-Mar Regional Council,West Virginia,0.003235280620439631,2948.4993804781793,24.103987884906612,70.46907727924155
54_11,Region XI - Brooke-Hancock Regional Planning and Development Council,West Virginia,0.002243639769002653,2315.4167316997036,17.929608240986422,69.07934166244064
54_2,Region II Planning and Development Council,West Virginia,0.0026170869350246365,1904.0927147801476,17.458612517688778,66.71500742942051
54_3,Region III - BCKP Regional Intergovernmental Council,West Virginia,0.003450806352978177,2004.1147589677287,21.316373420928485,70.77226469299313
54_4,Region IV Planning and Development Council,West Virginia,0.003453235254460741,4641.283015475887,22.494719022007818,66.18792054546594
54_5,Region V - Mid-Ohio Valley Regional Council,West Virginia,0.0029979088660378873,5244.514628684929,19.4493964086779,69.91173166425935
54_6,Region VI Planning and Development Council,West Virginia,0.0035437863403778875,3166.84048427096,21.196446447319314,64.71247747991556
54_7,Region VII Planning and Development Council,West Virginia,0.003170514217774695,2002.6931356565756,19.98684957171037,68.47540782534037
54_8,Region VIII Planning and Development Council,West Virginia,0.00217947619105925,1992.7269165309597,17.276634301037088,68.78177871606553
54_9,Region IX - Eastern Panhandle Regional Planning and Development Council,West Virginia,0.0026137800093673043,2312.208216032191,14.524357508700009,68.83244529512183
