region_key,region_name,state_name,mean_commute_time,housing_pre1960_pct,relative_weekly_wage,violent_crime_rate,property_crime_rate,natural_amenities_scale,healthcare_workers_per_1k,park_count
37_10,Upper Coastal Plain Council of Governments,North Carolina,23.537522848984796,81.35893591665706,0.7728020609475005,459.437673197278,1923.8952565136015,3.0,28.631823670035185,0
37_11,Mid-Carolina Council of Governments,North Carolina,25.015383529090943,80.41147391159853,0.7095250464259129,487.4896550160418,2107.542485290283,3.0,30.657052917191002,0
37_12,Lumber River Council of Governments,North Carolina,25.814480088037165,73.94119233881845,0.6891207998762947,971.6508690777068,3258.9061987359523,3.2,19.148192080414475,0
37_13,Cape Fear Council of Governments,North Carolina,24.03508083945529,99.13102888741807,0.8584769958693217,258.81059561833456,1783.1487859013812,3.75,23.324185777285464,0
37_14,Eastern Carolina Council of Governments,North Carolina,22.884694389464812,87.99546804456423,0.6955014979241733,303.77386037705634,1739.9099196686905,3.3333333333333335,19.26412940923441,0
37_15,Albemarle Commission,North Carolina,29.865774354263102,110.4787906365337,0.6831175812774144,298.4126984126984,1216.1616161616162,3.9,15.670995670995673,0
37_16,Mid-East Commission,North Carolina,23.0604666183352,77.16945143816281,0.7578357119279845,418.24409590769784,1945.1956012258877,2.8,57.84748512709573,0
37_2,Land of Sky Regional Council,North Carolina,21.727602398168205,88.71299812417075,0.8324502920752671,293.5547367202239,1670.7419238392329,4.25,57.24203849131482,3
37_3,Isothermal Planning & Development Commission,North Carolina,25.14680416777985,80.73047643486444,0.728779173160667,302.57384816134936,1514.6207536759875,4.0,15.662903833185915,2
37_4,High Country Council of Governments,North Carolina,24.202333329612802,83.61242288874708,0.6889440232252144,159.81375734069908,934.5526884490432,4.0,16.429808366607986,9
37_5,Western Piedmont Council of Governments,North Carolina,23.893203654719905,87.65212256821431,0.8166359337204998,245.06121066248488,1547.9563206395087,4.0,31.751409033661083,4
37_6,Centralina Regional Council,North Carolina,26.516730610323954,145.75418547230106,1.1805649810026324,466.09178993566064,2620.1543834710146,3.6666666666666665,35.988738235570644,0
37_7,Piedmont Triad Council of Governments,North Carolina,24.01699852374098,105.87183664297953,0.9053233290145629,466.19138371057625,2213.778774540083,3.4166666666666665,42.10104709701891,2
37_8,Triangle J Council of Governments,North Carolina,25.72052648734095,175.6941110221985,1.1899929230470139,319.1100590431157,2084.199690001832,3.4285714285714284,43.07791927058342,0
37_9,Kerr-Tar Council of Governments,North Carolina,30.257930307013826,87.09782800635705,0.7678870108578925,418.13142385208437,1608.5303999273565,3.2,10.632731864035941,0
42_1,North Central Pennsylvania,Pennsylvania,23.223651473068426,113.81270764119601,0.806954523444186,152.10074709667876,687.4583918928914,3.3333333333333335,21.1138027960648,0
