region_key,region_name,state_name,hs_attainment,associates_attainment,bachelors_attainment,labor_force_participation,knowledge_workers_pct
37_5,Western Piedmont Council of Governments,North Carolina,32.05328883666995,11.767632504506436,14.356297336706303,59.224583401093234,31.368859659536074
37_6,Centralina Regional Council,North Carolina,22.45664040237046,9.337919895696793,25.4609488821525,67.68114417577746,42.84956480956787
37_7,Piedmont Triad Council of Governments,North Carolina,27.965754234396183,9.848634118488471,18.50574298235979,61.12180093678309,36.318822901204626
37_8,Triangle J Council of Governments,North Carolina,17.117597836500565,8.864012988986326,29.259603524889016,67.12631958970489,52.39568795054892
37_9,Kerr-Tar Council of Governments,North Carolina,32.676016537353405,10.380690858382017,14.457897937745342,58.309833771520644,34.68808800115791
42_1,North Central Pennsylvania,Pennsylvania,48.47211587746553,10.581602111004942,12.030070430110928,56.73525957508391,29.860155891792754
42_2,Northwest Pennsylvania,Pennsylvania,41.73220200816424,9.698609843853125,15.785379256693707,57.449872467053986,34.304989274778535
42_3,Southwestern Pennsylvania,Pennsylvania,31.793389053031312,10.54415431162217,22.09612091529364,62.37667197275671,43.99953670359715
42_4,Northern Tier,Pennsylvania,45.96599218913229,9.36821973288761,12.81078735475161,56.16440282347648,31.580542306780153
42_5,Southern Alleghenies,Pennsylvania,46.545628345250414,9.650463864173734,13.58167712774544,56.50253724644744,32.86862886592662
42_6,SEDA-COG,Pennsylvania,40.884747700238336,9.07481100434609,15.364025580467395,57.87345001857525,37.103354846469635
42_7,Northeastern Pennsylvania,Pennsylvania,38.455850086950875,10.233656758059885,15.226559833574413,59.68149180252821,33.48783120131853
45_1,Appalachian Council of Governments,South Carolina,27.789186473908877,10.129299375742702,19.185677267164863,61.569498416406475,37.610762904706775
45_10,Waccamaw Regional Council of Governments,South Carolina,32.37054245625903,10.458668233241653,16.335994730611407,53.4876771362514,31.5435997967037
45_2,Berkeley-Charleston-Dorchester Council of Governments,South Carolina,23.243214295277454,9.538456045770594,24.482090737881236,65.61188420752697,43.011645579812985
45_3,Catawba Regional Council of Governments,South Carolina,27.175065003455877,10.496988447487082,20.591778297074022,63.363099483609595,39.5046439628483
45_4,Central Midlands Council of Governments,South Carolina,24.550998065475607,9.861954222795996,21.2444524668129,64.42254649204774,40.995914852332405
45_5,Lowcountry Council of Governments,South Carolina,27.07969338598423,8.965632164173828,20.885807487603138,55.061601954598125,34.135169092241654
45_6,Lower Savannah Council of Governments,South Carolina,32.18779534125234,10.585030483850046,14.91299594166373,55.83029030128006,33.49179846327474
45_7,Pee Dee Regional Council of Governments,South Carolina,38.56088231885092,9.922074911509553,11.332572508670728,55.36640769656594,30.190545068115064
45_8,Santee Lynches Regional Council of Governments,South Carolina,33.975837562094256,9.993915932901432,12.639482252575702,56.234272378159076,31.584289396254817
45_9,Upper Savannah Council of Governments,South Carolina,35.077147208794116,11.536322097874313,13.254751340970797,54.66712091531102,29.85784587731124
47_1,First Tennessee Development District,Tennessee,35.30821037754031,8.08644024241386,15.213771762639999,54.920025207814426,35.51054247238343
47_2,East Tennessee Development District,Tennessee,33.10676493802256,8.50462597557087,16.73605818484453,59.077836811924165,36.13296924433202
47_3,Southeast Tennessee Development District,Tennessee,29.637486727848007,8.671848568735385,17.57711678855414,60.33166240822617,36.8402817877353
47_4,Upper Cumberland Development District,Tennessee,41.339011081823216,6.650272429790895,11.663609115300458,54.68929222049794,29.452445089100703
47_5,South Central Tennessee Development District,Tennessee,39.5446404779168,8.204899390829599,12.993053102555047,59.12091558359892,31.824695994362116
47_6,Southwest Tennessee Development District,Tennessee,40.79759892365543,6.898494727521533,11.460884764434631,55.326009835343626,30.933608570582106
47_7,Northwest Tennessee Development District,Tennessee,43.492076508333504,5.775709492472854,11.099721874850516,54.081156171931546,30.373847710196983
47_8,Greater Nashville Regional Council,Tennessee,25.253903127830768,7.621747393474361,25.289497522246496,68.62526949872486,43.358708449441984
47_9,MidSouth Development District,Tennessee,28.793161270987493,6.842724930963373,19.256188321928317,63.62170595973863,36.90477906725293
51_1,Southwest Virginia,Virginia,37.126269214046395,9.978333388139266,10.854862930363582,48.29582594079746,32.02339312985158
51_2,Central/Western Virginia,Virginia,32.00651543398829,8.714946992844657,17.362301898395796,59.03127157936273,38.14715384975573
51_3,Southside Virginia,Virginia,37.20554211301579,9.409399175271785,10.961539189736715,52.040060690036505,29.33286409604313
51_4,Greater Richmond,Virginia,25.02908439506471,8.115720333581573,23.799287482639937,66.0602361449237,44.66594857552842
51_5,Hampton Roads,Virginia,24.616425171481758,9.872337831969464,20.87095717421429,66.6234950487996,41.352462471546815
51_6,Mary Ball Washington Regional Council,Virginia,25.592871910077363,6.982670347254938,22.143099091663,66.0241755918362,44.483341771061106
51_7,Northern Virginia,Virginia,14.074234116104423,6.03330466767706,31.111425676481108,74.71583301573898,58.50322814137902
51_8,Shenandoah Valley,Virginia,34.72007452258966,7.270477077649877,16.312728724466034,61.49945358104326,36.124585818422794
51_9,Central Virginia,Virginia,25.253306721364233,6.948259440693557,22.620932220744983,63.06417649568532,46.842928888565396
54_1,Region I Planning and Development Council,West Virginia,41.48089395513379,6.585338461970408,10.970884689895275,44.701342818811774,33.85556263049562
54_10,Region X - Bel-O-Mar Regional Council,West Virginia,38.48369132856006,9.880668257756563,15.602227525855211,53.88110825667799,33.043009302952676
54_11,Region XI - Brooke-Hancock Regional Planning and Development Council,West Virginia,40.76105678776798,10.901767496091368,13.517237724249409,55.48135781858653,31.836052239143203
54_2,Region II Planning and Development Council,West Virginia,38.070491853391616,8.531164980283068,11.414422400880383,48.248558216864964,35.3277178509773
54_3,Region III - BCKP Regional Intergovernmental Council,West Virginia,44.37290601042076,7.195574155548402,10.560265169128781,47.55151643242101,28.963777428721027
54_4,Region IV Planning and Development Council,West Virginia,37.27162822690748,7.754478848578962,15.778366041000094,54.67176213827174,39.52497660532062
54_5,Region V - Mid-Ohio Valley Regional Council,West Virginia,40.33493889165052,10.145871543907163,11.7477159361662,50.503338005033385,33.58515069447744
54_6,Region VI Planning and Development Council,West Virginia,35.716087451160064,6.992283418358154,16.561050567032336,58.57409269357052,41.27891073762271
54_7,Region VII Planning and Development Council,West Virginia,49.54866734460723,5.635694826309115,10.413920379646717,49.29059949491118,30.200134382799003
54_8,Region VIII Planning and Development Council,West Virginia,47.105741794456776,7.996128752356955,10.302190925929015,54.02833144555096,27.903258626202724
54_9,Region IX - Eastern Panhandle Regional Planning and Development Council,West Virginia,34.99953108881178,8.807594918445522,16.641297369047532,64.54666441732742,36.30859554169342
