region_key,region_name,state_name,orgs_per_1000,org_count_501c3,total_population,volunteering_rate,social_associations_per_10k,voter_turnout_pct,civic_organizations_per_1k
37_14,Eastern Carolina Council of Governments,North Carolina,3.532254190430888,2250,636987.0,0.06019438003032559,10.70826877723419,60.637209014571695,0.016207801956189684
37_15,Albemarle Commission,North Carolina,5.125541125541125,888,173250.0,0.05967652799153247,12.405119028825384,72.38005084687198,0.021444387898955267
37_16,Mid-East Commission,North Carolina,5.058590228952587,1403,277350.0,0.03744821307666126,12.568945466852307,65.31629340802772,0.017868444327932217
37_2,Land of Sky Regional Council,North Carolina,4.910741651398642,2163,440463.0,0.11993707637889219,12.20035215121376,77.77519675070488,0.02116469688289595
37_3,Isothermal Planning & Development Commission,North Carolina,4.221146014870344,964,228374.0,0.042550068372279676,17.53108045153744,67.49503120538009,0.020402278736489265
37_4,High Country Council of Governments,North Carolina,5.004317356728159,1049,209619.0,0.06349438304262972,13.782362459018696,69.74155139645738,0.028089426432995106
37_5,Western Piedmont Council of Governments,North Carolina,3.412279287819884,1249,366031.0,0.05440938526280014,14.032884456681673,68.03184445058623,0.016852946096051973
37_6,Centralina Regional Council,North Carolina,3.454177057087726,8009,2318642.0,0.04838270984616254,10.121361192323528,75.90667966770334,0.013764598644695042
37_7,Piedmont Triad Council of Governments,North Carolina,4.2682640330138675,7449,1745206.0,0.04499324094826341,11.023451733700858,72.00631746693983,0.016422163679506604
37_8,Triangle J Council of Governments,North Carolina,4.919936526954235,10151,2063238.0,0.06484578679463203,9.990609605654672,81.22716053272362,0.01558914287914482
37_9,Kerr-Tar Council of Governments,North Carolina,3.2603008643688898,754,231267.0,0.03934002537715282,11.576488414436914,69.4948155030076,0.014084225083959234
42_1,North Central Pennsylvania,Pennsylvania,5.580109475552926,1207,216304.0,0.08606466759553683,18.336662305427083,64.35367784609603,0.01891811271706025
42_2,Northwest Pennsylvania,Pennsylvania,5.462572319167375,3738,684293.0,0.07519789239564631,14.999646096493693,64.8157135518727,0.018304106864160525
42_3,Southwestern Pennsylvania,Pennsylvania,5.481197548493244,13619,2484676.0,0.06956286505135759,12.471585966928808,72.643886029932,0.01650389623094641
42_4,Northern Tier,Pennsylvania,5.570285607963531,958,171984.0,0.08605462615690412,12.688565381184524,65.75186575839368,0.0202392570974393
42_5,Southern Alleghenies,Pennsylvania,4.892358928956434,2133,435986.0,0.07582065090139134,18.82004881367429,66.63830689593003,0.019193625515044062
42_6,SEDA-COG,Pennsylvania,4.451904938219209,3042,683303.0,0.08275781531589062,15.082485526647133,61.13647396641821,0.022562141526125307
42_7,Northeastern Pennsylvania,Pennsylvania,3.6462256164135622,3747,1027638.0,0.06659807181206223,10.12252924628986,65.64912642213103,0.015220084196186789
45_1,Appalachian Council of Governments,South Carolina,4.000623004673288,5317,1329043.0,0.04759715204036438,12.245328266371557,65.31166621624574,0.014585061860300985
45_10,Waccamaw Regional Council of Governments,South Carolina,3.463023028438026,1562,451051.0,0.04952296095314942,9.073135584907213,67.36059505529342,0.015950965589257092
45_2,Berkeley-Charleston-Dorchester Council of Governments,South Carolina,4.309196687071663,3462,803398.0,0.06176260947697282,8.503925147897986,66.98866345773715,0.012678272218285458
45_3,Catawba Regional Council of Governments,South Carolina,2.895935007398955,1274,439927.0,0.05043784672282219,11.36154116697656,70.26683826481015,0.014457488719719408
45_4,Central Midlands Council of Governments,South Carolina,4.740873332425369,3655,770955.0,0.058894168387372804,11.47087155814717,63.70947695701675,0.016774394872668314
45_5,Lowcountry Council of Governments,South Carolina,3.9135255792380224,1080,275966.0,0.046716577074313495,9.410066776576352,66.5145046967072,0.015737225451287477
45_6,Lower Savannah Council of Governments,South Carolina,3.9457650722423168,1224,310206.0,0.0399203651300394,12.234982515677622,63.98520167664913,0.014104898089298726
45_7,Pee Dee Regional Council of Governments,South Carolina,4.169362813923108,1366,327628.0,0.028163561998522713,12.021154923148343,60.354169996502534,0.012643056361684592
45_8,Santee Lynches Regional Council of Governments,South Carolina,4.417049995884736,966,218698.0,0.04049029249078638,10.649265389405567,63.17606861604633,0.01288345558715672
45_9,Upper Savannah Council of Governments,South Carolina,21.19715765386005,4576,215878.0,0.031114589057171183,12.347712302299556,61.3053986591492,0.016703583225375445
47_1,First Tennessee Development District,Tennessee,3.655633533830525,1895,518378.0,0.07562104811797184,11.937803744373793,56.70473489587294,0.01669892411578076
47_2,East Tennessee Development District,Tennessee,3.280288019108351,4142,1262694.0,0.06654691982278288,10.660362530717624,59.6579657815497,0.015693821114123613
47_3,Southeast Tennessee Development District,Tennessee,4.189946230023846,2792,666357.0,0.05513033443321372,12.92299353042178,59.22240793431668,0.017280287523852828
47_4,Upper Cumberland Development District,Tennessee,2.802744756934377,1015,362145.0,0.07904636337593506,8.090603276872763,58.30807694585235,0.016536800813199134
47_5,South Central Tennessee Development District,Tennessee,3.6089723419148103,1686,467169.0,0.0869431503459412,8.875332477939532,58.98510613394394,0.014891401821047631
47_6,Southwest Tennessee Development District,Tennessee,3.444600012728314,866,251408.0,0.05757650937743429,13.434715329931931,56.30209611270302,0.0157546505347483
47_7,Northwest Tennessee Development District,Tennessee,3.1010243780224354,656,211543.0,0.0588841827554067,15.170971625831264,56.33882328939851,0.01683350529898413
47_8,Greater Nashville Regional Council,Tennessee,4.279012859023899,8953,2092305.0,0.06986724130908496,10.042723898983262,64.90481861426656,0.014515268045313898
47_9,MidSouth Development District,Tennessee,4.27316804982203,4508,1054955.0,0.055473293952010276,9.239812889603085,57.455150337476084,0.011881144141412286
51_1,Southwest Virginia,Virginia,3.526799085784598,1307,370591.0,0.07249287493962013,9.501993925973858,60.73326578668251,0.018205168734837716
51_2,Central/Western Virginia,Virginia,4.9845248104585655,2733,548297.0,0.07973755604344523,14.730045004251561,62.86831174428472,0.023886306933933097
51_3,Southside Virginia,Virginia,4.602307158962488,1686,366338.0,0.059901051366377474,13.901072820817664,64.73218827941551,0.01596966775410291
51_4,Greater Richmond,Virginia,4.173110097530747,4485,1074738.0,0.07072366923367046,10.28352056658601,77.76280779081334,0.014527430647217406
51_5,Hampton Roads,Virginia,3.952612171045098,6903,1746440.0,0.05004582261890165,9.224697234347241,65.95190824153411,0.013838922841718521
51_6,Mary Ball Washington Regional Council,Virginia,4.754133257645639,3551,746929.0,0.07420164182156537,10.258295901860539,70.9424124410377,0.018670203042880786
51_7,Northern Virginia,Virginia,3.286493094490443,4581,1393887.0,0.06769421572174288,9.94571368523419,80.66977271405872,0.013282356742183317
51_8,Shenandoah Valley,Virginia,4.0875315688822065,2240,548008.0,0.07040078004945886,13.018441888989537,67.50956259192502,0.017473352509350115
51_9,Central Virginia,Virginia,5.501353364479873,2441,443709.0,0.08558116910600624,10.859691279446247,76.98278517222596,0.018874044867520506
54_1,Region I Planning and Development Council,West Virginia,4.289228039757263,851,198404.0,0.06726764774422893,9.976047711100847,54.20136315827756,0.01401430715982339
54_10,Region X - Bel-O-Mar Regional Council,West Virginia,6.745904272406039,588,87164.0,0.12085358610089027,15.949449843157648,57.627775787303584,0.017654541235188836
54_11,Region XI - Brooke-Hancock Regional Planning and Development Council,West Virginia,3.960511940065553,203,51256.0,0.068581616453742,13.828447543629645,58.78860072652256,0.01806458019254331
54_2,Region II Planning and Development Council,West Virginia,3.8403832711029278,901,234612.0,0.07580452057606603,10.294865994419933,51.51135796243001,0.014207971152694662
54_3,Region III - BCKP Regional Intergovernmental Council,West Virginia,5.617388569531564,643,114466.0,0.09467126393957158,10.5135264742575,53.31012734463133,0.018988870701317422
54_4,Region IV Planning and Development Council,West Virginia,4.865241426837855,1299,266996.0,0.08370396494668084,14.286959588221587,58.359414280056896,0.017895595981228182
54_5,Region V - Mid-Ohio Valley Regional Council,West Virginia,4.9286608723544685,799,162113.0,0.09020815360592303,13.301328353029994,57.692364509820614,0.01594361452606515
54_6,Region VI Planning and Development Council,West Virginia,4.684355369219983,1343,286699.0,0.09694191854867998,12.473121401929696,53.633524302171445,0.015134645270646218
54_7,Region VII Planning and Development Council,West Virginia,6.223935580915666,691,111023.0,0.11592488335421491,9.030038029775943,53.09313058435055,0.017281584207722724
54_8,Region VIII Planning and Development Council,West Virginia,5.350736491533103,437,81671.0,0.10059305956529246,10.55988264557421,57.88563881689058,0.015340455853362883
54_9,Region IX - Eastern Panhandle Regional Planning and Development Council,West Virginia,3.4447505325765624,684,198563.0,0.08889914423677121,7.832619119192817,60.158911230377065,0.015018794226734083
