region_key,region_name,state_name,proprietor_income_pct,income_stability_cv,life_expectancy,poverty_pct,dir_income_share
37_4,High Country Council of Governments,North Carolina,7.973242040542806,0.18251970871145437,76.01941072596416,17.887330558591984,21.05569951501625
37_5,Western Piedmont Council of Governments,North Carolina,5.286245565392455,0.18608961643686742,73.65454556688059,12.639873877143634,15.286032694480465
37_6,Centralina Regional Council,North Carolina,9.442526549575721,0.24117507345637473,77.16116554917727,11.610505933761088,17.03216431711559
37_7,Piedmont Triad Council of Governments,North Carolina,6.969318511568119,0.1844838194723001,74.98272443774606,14.830330462199345,16.9188642811568
37_8,Triangle J Council of Governments,North Carolina,6.661488805068847,0.26293783476530347,79.80627888518366,9.860190694105794,20.281414252724073
37_9,Kerr-Tar Council of Governments,North Carolina,5.004635202124135,0.18597898925508904,74.45451343260565,17.00670687166136,12.60964922391023
42_1,North Central Pennsylvania,Pennsylvania,9.191703894818136,0.12481057375791704,75.78632790321994,10.90224362515002,13.859212010994785
42_2,Northwest Pennsylvania,Pennsylvania,6.877279916557965,0.12498399427585455,75.16557030025325,14.61361785858454,15.284148969695
42_3,Southwestern Pennsylvania,Pennsylvania,8.620042003933436,0.1590330373921658,76.409833274664,11.038561294942143,16.826427729295872
42_4,Northern Tier,Pennsylvania,6.506810334587791,0.14852070249961571,76.51698703142468,12.328779144510566,20.05023764214634
42_5,Southern Alleghenies,Pennsylvania,6.639262067847492,0.13164689413734823,75.28326849722407,11.648070105428214,14.314563523488408
42_6,SEDA-COG,Pennsylvania,7.8195449018908185,0.156871728245511,77.78039715971235,13.752641795251181,15.310682068232632
42_7,Northeastern Pennsylvania,Pennsylvania,6.953034523672716,0.15435993106298987,75.61441015227429,11.665552664964626,15.253328208278322
45_1,Appalachian Council of Governments,South Carolina,5.497887417603688,0.22696460790111847,74.62660349926371,14.403710954223786,18.93579818238579
45_10,Waccamaw Regional Council of Governments,South Carolina,8.450219032297877,0.2809532173966871,74.14119723057037,23.118053169223078,20.655906770309294
45_2,Berkeley-Charleston-Dorchester Council of Governments,South Carolina,6.784286552645147,0.2771153942509312,77.25234968936739,11.069714474335699,25.444057978767287
45_3,Catawba Regional Council of Governments,South Carolina,4.319625540437596,0.2866043178011981,75.07328827388802,17.21001363790385,15.0668674736025
45_4,Central Midlands Council of Governments,South Carolina,6.134254841770873,0.19680223770514993,75.40159885061159,16.586867326857092,16.450031572698816
45_5,Lowcountry Council of Governments,South Carolina,5.967992036501371,0.2534250383152948,77.49760414388062,16.627343062560364,36.168530198827995
45_6,Lower Savannah Council of Governments,South Carolina,4.591600904509361,0.1623014342101671,72.06369003169468,23.551043527738994,15.628717598935879
45_7,Pee Dee Regional Council of Governments,South Carolina,4.09734202145995,0.15853662734674645,69.96201940566782,27.01022457448461,12.861931691390321
45_8,Santee Lynches Regional Council of Governments,South Carolina,4.274607413160361,0.17231699464835426,72.0512789160965,16.219833589743587,13.813768735457128
45_9,Upper Savannah Council of Governments,South Carolina,4.437009600578193,0.1621953670992415,72.76891130562795,17.46103370288402,14.117235413102277
47_1,First Tennessee Development District,Tennessee,9.356336669889775,0.15751873505293884,72.68886406770004,16.857277642448377,13.530477996337462
47_2,East Tennessee Development District,Tennessee,13.671893097926219,0.22189742608680452,73.11468503887355,14.600457721237719,14.81328906389853
47_3,Southeast Tennessee Development District,Tennessee,9.362403774827545,0.18928121665214362,74.2174287275486,16.33862469290873,15.883235560452693
47_4,Upper Cumberland Development District,Tennessee,12.483412327978305,0.2011497124634446,72.41038601120974,17.10207789651408,12.896240328245465
47_5,South Central Tennessee Development District,Tennessee,10.758633063509905,0.22552944592917276,73.00596021497151,13.362202399751999,12.147617169090873
47_6,Southwest Tennessee Development District,Tennessee,9.10360072181179,0.1540723073917497,71.85013383625856,18.496243584152435,12.257601391902167
47_7,Northwest Tennessee Development District,Tennessee,10.801541765611491,0.15171184113688832,71.36430741935874,21.56060165240844,11.04429991658736
47_8,Greater Nashville Regional Council,Tennessee,19.6563043890794,0.2821958158841315,75.7262766263629,9.641429730832956,16.29356094787749
47_9,MidSouth Development District,Tennessee,8.488025675799921,0.15008896463988514,71.9324513156608,16.066850596933584,15.316690993770376
51_1,Southwest Virginia,Virginia,3.6081465522521623,0.10760189788079977,72.19307608404095,20.052226756976385,12.374766867203014
51_2,Central/Western Virginia,Virginia,4.426347208751891,0.14716688715082313,74.6362405907615,16.492952412184028,16.07728409470083
51_3,Southside Virginia,Virginia,3.1581620689678744,0.15067983998724738,72.31157692776745,18.01338890186376,14.714652819222355
51_4,Greater Richmond,Virginia,7.486474152103116,0.20995213607949093,76.66534821189653,9.674494535433396,18.785111811943075
51_5,Hampton Roads,Virginia,3.08567811057455,0.14278597496809803,76.20668087844581,9.609447157179364,18.43917162123378
51_6,Mary Ball Washington Regional Council,Virginia,6.480500654309207,0.19958331986064923,76.40725124768667,12.84662400415967,20.366431886428476
51_7,Northern Virginia,Virginia,5.728140980155985,0.21615423853405988,82.19293353812759,6.98381632502895,19.37582555193695
51_8,Shenandoah Valley,Virginia,4.486035148609916,0.18534818292591615,76.85621519770173,14.580810805640054,16.736959145015874
51_9,Central Virginia,Virginia,5.836342211656748,0.19525908725216257,78.65919323278636,9.526005518041094,20.229406413321307
54_1,Region I Planning and Development Council,West Virginia,4.59094615147474,0.10598866397968579,68.90641905114184,21.286233389240095,13.174061942429931
54_10,Region X - Bel-O-Mar Regional Council,West Virginia,5.3590254944842295,0.14616340990049626,73.11046984744739,15.05938063976146,24.67525101632628
54_11,Region XI - Brooke-Hancock Regional Planning and Development Council,West Virginia,4.635351610864656,0.1313746154332595,72.83376604774234,12.126926021295846,16.8399665351978
54_2,Region II Planning and Development Council,West Virginia,4.326831667987636,0.11053052326805604,68.90574079551756,21.05530070960487,13.650988625774287
54_3,Region III - BCKP Regional Intergovernmental Council,West Virginia,4.6259632928361825,0.11341237745238039,71.09034806566689,19.666646510020733,14.222977387522404
54_4,Region IV Planning and Development Council,West Virginia,8.567176798733179,0.10296787746590487,71.70604448799904,19.597922408142963,15.192261358887293
54_5,Region V - Mid-Ohio Valley Regional Council,West Virginia,10.247806019177602,0.16292373718307945,73.30392512503471,19.56477612397286,16.277301288780297
54_6,Region VI Planning and Development Council,West Virginia,5.983529132181011,0.16186326005350757,75.08360836973839,17.47062609382939,18.00458829717314
54_7,Region VII Planning and Development Council,West Virginia,4.67692718027851,0.13579646203409373,73.49982663337988,14.290785537723005,15.95983915299754
54_8,Region VIII Planning and Development Council,West Virginia,4.230335844706427,0.16136140030053164,73.84677102766342,15.296976288217632,13.420557735371371
54_9,Region IX - Eastern Panhandle Regional Planning and Development Council,West Virginia,4.106496887205612,0.21605627035429886,74.00247753333517,10.536526813414095,14.442535930137165
